Zeitstempel: 18.9.2013 11:37:11
Signalquelle: Analysator
Abtastrate: 20000.00 Hz
Modus: TIME


Bemerkung: Frequenzzaehler 4717.478

Zeit in s	Analysatorsignal in V
0.000000	0.023499
0.000050	0.039063
0.000100	0.025635
0.000150	0.027161
0.000200	0.040588
0.000250	0.033264
0.000300	0.033264
0.000350	0.040588
0.000400	0.057678
0.000450	0.054321
0.000500	0.045776
0.000550	0.040283
0.000600	0.041199
0.000650	0.044556
0.000700	0.049439
0.000750	0.056763
0.000800	0.048218
0.000850	0.042420
0.000900	0.030518
0.000950	0.039978
0.001000	0.047913
0.001050	0.050964
0.001100	0.053711
0.001150	0.050354
0.001200	0.048828
0.001250	0.055237
0.001300	0.043945
0.001350	0.035400
0.001400	0.039673
0.001450	0.039063
0.001500	0.050049
0.001550	0.057983
0.001600	0.042114
0.001650	0.043640
0.001700	0.040894
0.001750	0.035095
0.001800	0.038757
0.001850	0.039978
0.001900	0.043945
0.001950	0.043335
0.002000	0.029907
0.002050	0.039368
0.002100	0.041504
0.002150	0.044861
0.002200	0.036926
0.002250	0.032044
0.002300	0.039978
0.002350	0.049439
0.002400	0.046692
0.002450	0.037232
0.002500	0.032959
0.002550	0.030518
0.002600	0.027466
0.002650	0.034485
0.002700	0.031433
0.002750	0.028076
0.002800	0.037842
0.002850	0.043030
0.002900	0.039978
0.002950	0.036011
0.003000	0.026550
0.003050	0.024414
0.003100	0.026856
0.003150	0.032349
0.003200	0.044556
0.003250	0.035400
0.003300	0.036621
0.003350	0.032044
0.003400	0.028687
0.003450	0.028687
0.003500	0.033264
0.003550	0.032959
0.003600	0.031738
0.003650	0.036011
0.003700	0.035400
0.003750	0.025940
0.003800	0.016480
0.003850	0.029907
0.003900	0.032349
0.003950	0.027161
0.004000	0.031738
0.004050	0.034790
0.004100	0.029602
0.004150	0.027771
0.004200	0.036621
0.004250	0.034180
0.004300	0.037842
0.004350	0.026245
0.004400	0.030212
0.004450	0.024719
0.004500	0.036011
0.004550	0.015869
0.004600	0.020142
0.004650	0.036011
0.004700	0.039063
0.004750	0.032349
0.004800	0.034485
0.004850	0.024109
0.004900	0.017700
0.004950	0.029907
0.005000	0.043335
0.005050	0.033264
0.005100	0.033264
0.005150	0.043945
0.005200	0.037232
0.005250	0.030518
0.005300	0.040588
0.005350	0.035706
0.005400	0.026856
0.005450	0.027771
0.005500	0.036316
0.005550	0.045471
0.005600	0.043945
0.005650	0.034790
0.005700	0.033569
0.005750	0.026245
0.005800	0.023499
0.005850	0.028687
0.005900	0.031738
0.005950	0.041504
0.006000	0.036926
0.006050	0.034485
0.006100	0.028076
0.006150	0.024109
0.006200	0.038147
0.006250	0.039368
0.006300	0.031433
0.006350	0.031128
0.006400	0.045471
0.006450	0.039368
0.006500	0.027161
0.006550	0.033569
0.006600	0.031128
0.006650	0.027771
0.006700	0.033264
0.006750	0.039978
0.006800	0.039063
0.006850	0.041809
0.006900	0.025635
0.006950	0.030212
0.007000	0.030212
0.007050	0.017700
0.007100	0.031128
0.007150	0.039978
0.007200	0.036621
0.007250	0.039978
0.007300	0.043945
0.007350	0.032044
0.007400	0.025940
0.007450	0.032959
0.007500	0.041809
0.007550	0.048828
0.007600	0.047302
0.007650	0.014038
0.007700	0.026550
0.007750	0.039978
0.007800	0.018005
0.007850	0.025025
0.007900	0.030212
0.007950	0.038452
0.008000	0.042114
0.008050	0.025940
0.008100	0.032654
0.008150	0.033264
0.008200	0.025940
0.008250	0.016174
0.008300	0.029602
0.008350	0.032349
0.008400	0.042420
0.008450	0.040283
0.008500	0.023499
0.008550	0.026856
0.008600	0.025025
0.008650	0.025635
0.008700	0.029297
0.008750	0.038452
0.008800	0.036926
0.008850	0.032654
0.008900	0.026856
0.008950	0.020752
0.009000	0.018616
0.009050	0.025635
0.009100	0.013733
0.009150	0.027161
0.009200	0.033569
0.009250	0.020752
0.009300	0.023499
0.009350	0.028076
0.009400	0.026550
0.009450	0.014038
0.009500	0.007629
0.009550	0.026550
0.009600	0.030518
0.009650	0.031433
0.009700	0.018921
0.009750	0.002747
0.009800	0.018616
0.009850	0.027161
0.009900	0.011597
0.009950	0.026550
0.010000	0.021057
0.010050	0.022583
0.010100	0.006104
0.010150	0.019531
0.010200	0.016785
0.010250	0.012207
0.010300	0.017090
0.010350	0.021057
0.010400	0.024109
0.010450	0.005798
0.010500	0.029907
0.010550	0.016785
0.010600	0.006409
0.010650	0.018005
0.010700	0.015259
0.010750	0.016785
0.010800	0.025635
0.010850	0.018616
0.010900	0.014954
0.010950	0.011292
0.011000	0.004883
0.011050	0.018311
0.011100	0.011902
0.011150	0.017700
0.011200	0.029297
0.011250	0.025635
0.011300	0.000000
0.011350	0.013733
0.011400	0.008545
0.011450	0.002747
0.011500	0.013733
0.011550	0.007324
0.011600	0.009766
0.011650	0.012207
0.011700	0.006714
0.011750	0.004578
0.011800	0.012207
0.011850	0.012512
0.011900	0.007324
0.011950	0.016480
0.012000	0.008545
0.012050	-0.003967
0.012100	0.010376
0.012150	0.003357
0.012200	-0.001221
0.012250	0.007935
0.012300	-0.007629
0.012350	-0.000915
0.012400	0.006714
0.012450	-0.003662
0.012500	-0.022278
0.012550	-0.014343
0.012600	-0.017395
0.012650	-0.021973
0.012700	-0.025635
0.012750	-0.024719
0.012800	-0.017700
0.012850	-0.014648
0.012900	-0.031128
0.012950	-0.035095
0.013000	-0.031433
0.013050	-0.048523
0.013100	-0.054932
0.013150	-0.058594
0.013200	-0.080261
0.013250	-0.093079
0.013300	-0.104675
0.013350	-0.126343
0.013400	-0.145874
0.013450	-0.162048
0.013500	-0.174560
0.013550	-0.202637
0.013600	-0.220337
0.013650	-0.245972
0.013700	-0.270996
0.013750	-0.302124
0.013800	-0.333557
0.013850	-0.364380
0.013900	-0.398865
0.013950	-0.415955
0.014000	-0.427856
0.014050	-0.453186
0.014100	-0.487060
0.014150	-0.522461
0.014200	-0.547180
0.014250	-0.576477
0.014300	-0.596008
0.014350	-0.619507
0.014400	-0.641479
0.014450	-0.666199
0.014500	-0.686951
0.014550	-0.712891
0.014600	-0.731506
0.014650	-0.731506
0.014700	-0.736084
0.014750	-0.715942
0.014800	-0.703735
0.014850	-0.680237
0.014900	-0.652161
0.014950	-0.620117
0.015000	-0.591125
0.015050	-0.541687
0.015100	-0.494080
0.015150	-0.463867
0.015200	-0.422974
0.015250	-0.388489
0.015300	-0.355530
0.015350	-0.328674
0.015400	-0.309143
0.015450	-0.279846
0.015500	-0.271606
0.015550	-0.253601
0.015600	-0.247803
0.015650	-0.244446
0.015700	-0.245056
0.015750	-0.239868
0.015800	-0.211792
0.015850	-0.201416
0.015900	-0.179138
0.015950	-0.163269
0.016000	-0.144653
0.016050	-0.111999
0.016100	-0.093689
0.016150	-0.069275
0.016200	-0.056457
0.016250	-0.051575
0.016300	-0.039978
0.016350	-0.037842
0.016400	-0.033569
0.016450	-0.027771
0.016500	-0.028076
0.016550	-0.021667
0.016600	-0.021362
0.016650	-0.019226
0.016700	-0.028381
0.016750	-0.022888
0.016800	-0.023498
0.016850	-0.008240
0.016900	-0.013733
0.016950	-0.019226
0.017000	-0.030517
0.017050	-0.043030
0.017100	-0.034790
0.017150	-0.032959
0.017200	-0.032959
0.017250	-0.039368
0.017300	-0.046692
0.017350	-0.064087
0.017400	-0.079040
0.017450	-0.090332
0.017500	-0.102234
0.017550	-0.110779
0.017600	-0.104065
0.017650	-0.124512
0.017700	-0.133667
0.017750	-0.142517
0.017800	-0.162048
0.017850	-0.172729
0.017900	-0.194397
0.017950	-0.199890
0.018000	-0.216675
0.018050	-0.231323
0.018100	-0.236206
0.018150	-0.246887
0.018200	-0.252991
0.018250	-0.251465
0.018300	-0.266724
0.018350	-0.289917
0.018400	-0.301819
0.018450	-0.305176
0.018500	-0.307007
0.018550	-0.320740
0.018600	-0.309753
0.018650	-0.285339
0.018700	-0.286865
0.018750	-0.287170
0.018800	-0.260925
0.018850	-0.224609
0.018900	-0.185852
0.018950	-0.150757
0.019000	-0.109253
0.019050	-0.061035
0.019100	-0.011902
0.019150	0.027466
0.019200	0.031128
0.019250	0.023804
0.019300	0.028076
0.019350	0.024414
0.019400	0.017395
0.019450	0.014343
0.019500	0.021057
0.019550	0.022888
0.019600	0.013123
0.019650	0.031128
0.019700	0.046387
0.019750	0.032044
0.019800	0.030212
0.019850	0.036316
0.019900	0.037537
0.019950	0.018311
0.020000	0.027466
0.020050	0.040283
0.020100	0.048523
0.020150	0.029602
0.020200	0.034485
0.020250	0.037842
0.020300	0.043640
0.020350	0.033569
0.020400	0.035400
0.020450	0.052490
0.020500	0.058594
0.020550	0.042114
0.020600	0.032349
0.020650	0.042725
0.020700	0.056458
0.020750	0.053711
0.020800	0.052185
0.020850	0.045776
0.020900	0.049133
0.020950	0.046692
0.021000	0.036621
0.021050	0.033875
0.021100	0.037232
0.021150	0.047302
0.021200	0.054932
0.021250	0.038757
0.021300	0.032349
0.021350	0.046387
0.021400	0.040894
0.021450	0.029602
0.021500	0.025025
0.021550	0.024719
0.021600	0.045166
0.021650	0.047302
0.021700	0.046082
0.021750	0.039673
0.021800	0.037232
0.021850	0.040283
0.021900	0.030823
0.021950	0.036011
