Zeitstempel: 18.9.2013 13:51:58
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 100s
FM
Amplitude 100mV
Richtung min<-max
min Frequenz 1300Hz
max Frequenz 1700Hz

Frequenz in Hz	S/H-Signal in V
1699.937500	-0.671692
1699.875000	-0.663452
1699.812500	-0.661011
1699.750000	-0.628967
1699.687500	-0.662537
1699.625000	-0.627441
1699.562500	-0.616150
1699.500000	-0.615539
1699.437500	-0.643921
1699.375000	-0.659790
1699.312500	-0.644226
1699.250000	-0.658874
1699.187500	-0.652771
1699.125000	-0.628967
1699.062500	-0.663452
1699.000000	-0.627441
1698.937500	-0.626221
1698.875000	-0.608520
1698.812500	-0.653381
1698.750000	-0.671997
1698.687500	-0.620727
1698.625000	-0.619507
1698.562500	-0.645447
1698.500000	-0.645447
1698.437500	-0.643616
1698.375000	-0.641174
1698.312500	-0.602722
1698.250000	-0.646362
1698.187500	-0.647888
1698.125000	-0.658569
1698.062500	-0.658264
1698.000000	-0.641174
1697.937500	-0.652466
1697.875000	-0.631409
1697.812500	-0.630798
1697.750000	-0.654907
1697.687500	-0.610962
1697.625000	-0.644226
1697.562500	-0.629272
1697.500000	-0.625915
1697.437500	-0.660400
1697.375000	-0.668335
1697.312500	-0.608215
1697.250000	-0.606384
1697.187500	-0.634766
1697.125000	-0.611267
1697.062500	-0.652771
1697.000000	-0.602112
1696.937500	-0.600281
1696.875000	-0.632934
1696.812500	-0.625915
1696.750000	-0.707092
1696.687500	-0.650330
1696.625000	-0.649109
1696.562500	-0.671997
1696.500000	-0.658569
1696.437500	-0.642090
1696.375000	-0.641479
1696.312500	-0.648498
1696.250000	-0.664978
1696.187500	-0.678406
1696.125000	-0.632934
1696.062500	-0.633240
1696.000000	-0.657349
1695.937500	-0.595398
1695.875000	-0.641479
1695.812500	-0.636597
1695.750000	-0.669861
1695.687500	-0.627441
1695.625000	-0.624695
1695.562500	-0.646362
1695.500000	-0.647278
1695.437500	-0.669250
1695.375000	-0.655517
1695.312500	-0.644836
1695.250000	-0.610657
1695.187500	-0.617981
1695.125000	-0.647888
1695.062500	-0.655212
1695.000000	-0.632934
1694.937500	-0.630798
1694.875000	-0.635681
1694.812500	-0.630798
1694.750000	-0.640869
1694.687500	-0.639038
1694.625000	-0.638733
1694.562500	-0.635376
1694.500000	-0.625610
1694.437500	-0.632324
1694.375000	-0.633545
1694.312500	-0.687866
1694.250000	-0.632324
1694.187500	-0.629272
1694.125000	-0.639648
1694.062500	-0.638428
1694.000000	-0.644836
1693.937500	-0.692139
1693.875000	-0.686951
1693.812500	-0.683288
1693.750000	-0.632324
1693.687500	-0.619812
1693.625000	-0.633240
1693.562500	-0.641785
1693.500000	-0.641174
1693.437500	-0.632019
1693.375000	-0.682068
1693.312500	-0.605163
1693.250000	-0.603332
1693.187500	-0.586853
1693.125000	-0.613098
1693.062500	-0.636902
1693.000000	-0.617371
1692.937500	-0.616150
1692.875000	-0.620117
1692.812500	-0.598755
1692.750000	-0.644226
1692.687500	-0.603943
1692.625000	-0.603027
1692.562500	-0.634460
1692.500000	-0.639343
1692.437500	-0.635376
1692.375000	-0.634766
1692.312500	-0.598755
1692.250000	-0.617981
1692.187500	-0.622253
1692.125000	-0.646362
1692.062500	-0.643310
1692.000000	-0.615845
1691.937500	-0.627441
1691.875000	-0.654602
1691.812500	-0.654602
1691.750000	-0.634460
1691.687500	-0.643616
1691.625000	-0.610962
1691.562500	-0.631714
1691.500000	-0.632324
1691.437500	-0.631409
1691.375000	-0.654907
1691.312500	-0.648498
1691.250000	-0.625000
1691.187500	-0.625610
1691.125000	-0.636291
1691.062500	-0.624084
1691.000000	-0.624084
1690.937500	-0.622559
1690.875000	-0.645142
1690.812500	-0.619202
1690.750000	-0.565796
1690.687500	-0.638428
1690.625000	-0.639343
1690.562500	-0.643616
1690.500000	-0.626221
1690.437500	-0.620727
1690.375000	-0.616150
1690.312500	-0.672913
1690.250000	-0.628052
1690.187500	-0.617676
1690.125000	-0.600586
1690.062500	-0.598755
1690.000000	-0.623474
1689.937500	-0.639038
1689.875000	-0.646057
1689.812500	-0.670166
1689.750000	-0.647888
1689.687500	-0.617371
1689.625000	-0.600281
1689.562500	-0.599976
1689.500000	-0.599670
1689.437500	-0.629578
1689.375000	-0.613098
1689.312500	-0.628662
1689.250000	-0.626221
1689.187500	-0.614929
1689.125000	-0.631409
1689.062500	-0.644226
1689.000000	-0.587463
1688.937500	-0.587768
1688.875000	-0.649414
1688.812500	-0.627136
1688.750000	-0.623169
1688.687500	-0.618591
1688.625000	-0.620422
1688.562500	-0.642395
1688.500000	-0.609131
1688.437500	-0.617371
1688.375000	-0.614319
1688.312500	-0.646057
1688.250000	-0.624390
1688.187500	-0.610962
1688.125000	-0.614319
1688.062500	-0.612488
1688.000000	-0.644836
1687.937500	-0.653686
1687.875000	-0.608520
1687.812500	-0.610046
1687.750000	-0.604553
1687.687500	-0.649414
1687.625000	-0.624695
1687.562500	-0.643921
1687.500000	-0.675049
1687.437500	-0.616455
1687.375000	-0.616150
1687.312500	-0.613708
1687.250000	-0.631714
1687.187500	-0.629883
1687.125000	-0.613098
1687.062500	-0.638428
1687.000000	-0.671692
1686.937500	-0.671692
1686.875000	-0.653686
1686.812500	-0.638428
1686.750000	-0.627441
1686.687500	-0.628052
1686.625000	-0.628357
1686.562500	-0.637207
1686.500000	-0.629272
1686.437500	-0.616150
1686.375000	-0.613708
1686.312500	-0.616455
1686.250000	-0.610046
1686.187500	-0.619812
1686.125000	-0.635376
1686.062500	-0.635071
1686.000000	-0.641785
1685.937500	-0.619812
1685.875000	-0.595703
1685.812500	-0.623474
1685.750000	-0.608215
1685.687500	-0.657349
1685.625000	-0.637207
1685.562500	-0.639954
1685.500000	-0.640869
1685.437500	-0.654907
1685.375000	-0.642395
1685.312500	-0.614319
1685.250000	-0.651855
1685.187500	-0.653381
1685.125000	-0.628357
1685.062500	-0.622559
1685.000000	-0.615234
1684.937500	-0.615234
1684.875000	-0.638428
1684.812500	-0.602722
1684.750000	-0.628357
1684.687500	-0.656738
1684.625000	-0.658874
1684.562500	-0.644836
1684.500000	-0.620117
1684.437500	-0.576172
1684.375000	-0.575867
1684.312500	-0.641479
1684.250000	-0.624390
1684.187500	-0.636291
1684.125000	-0.640259
1684.062500	-0.640564
1684.000000	-0.617371
1683.937500	-0.622253
1683.875000	-0.620727
1683.812500	-0.621948
1683.750000	-0.636597
1683.687500	-0.669556
1683.625000	-0.636902
1683.562500	-0.635681
1683.500000	-0.635071
1683.437500	-0.587768
1683.375000	-0.631103
1683.312500	-0.620117
1683.250000	-0.606995
1683.187500	-0.630188
1683.125000	-0.613098
1683.062500	-0.631714
1683.000000	-0.595398
1682.937500	-0.592956
1682.875000	-0.624390
1682.812500	-0.645752
1682.750000	-0.636291
1682.687500	-0.626221
1682.625000	-0.626221
1682.562500	-0.618286
1682.500000	-0.588989
1682.375000	-0.588989
1682.312500	-0.586853
1682.250000	-0.628662
1682.187500	-0.616455
1682.125000	-0.604553
1682.062500	-0.603943
1682.000000	-0.636597
1681.937500	-0.609741
1681.875000	-0.647278
1681.812500	-0.644531
1681.750000	-0.633545
1681.687500	-0.623474
1681.625000	-0.639343
1681.562500	-0.649109
1681.500000	-0.646057
1681.437500	-0.621643
1681.375000	-0.606689
1681.312500	-0.671692
1681.250000	-0.652771
1681.187500	-0.639648
1681.125000	-0.592346
1681.062500	-0.588379
1681.000000	-0.607300
1680.937500	-0.604553
1680.875000	-0.667725
1680.812500	-0.671081
1680.750000	-0.619202
1680.687500	-0.646362
1680.625000	-0.646362
1680.562500	-0.608215
1680.500000	-0.658264
1680.437500	-0.627136
1680.375000	-0.626831
1680.312500	-0.621338
1680.250000	-0.632629
1680.187500	-0.629883
1680.125000	-0.635376
1680.062500	-0.635071
1680.000000	-0.625610
1679.937500	-0.640564
1679.875000	-0.599365
1679.812500	-0.596008
1679.750000	-0.646057
1679.687500	-0.635071
1679.625000	-0.660095
1679.562500	-0.621338
1679.500000	-0.620422
1679.437500	-0.635681
1679.375000	-0.639038
1679.312500	-0.618591
1679.250000	-0.628052
1679.187500	-0.632324
1679.125000	-0.630188
1679.062500	-0.620727
1679.000000	-0.625915
1678.937500	-0.623169
1678.875000	-0.680542
1678.812500	-0.609741
1678.750000	-0.603027
1678.687500	-0.629883
1678.625000	-0.625305
1678.562500	-0.630493
1678.500000	-0.650940
1678.437500	-0.625305
1678.375000	-0.624390
1678.312500	-0.630798
1678.250000	-0.606079
1678.187500	-0.645142
1678.125000	-0.629578
1678.062500	-0.630493
1678.000000	-0.601501
1677.937500	-0.652771
1677.875000	-0.625000
1677.812500	-0.620117
1677.750000	-0.603943
1677.687500	-0.634766
1677.625000	-0.633850
1677.562500	-0.616150
1677.500000	-0.615845
1677.437500	-0.626831
1677.375000	-0.621338
1677.312500	-0.636597
1677.250000	-0.612183
1677.187500	-0.616760
1677.125000	-0.595703
1677.062500	-0.648804
1677.000000	-0.650024
1676.937500	-0.649414
1676.875000	-0.626831
1676.812500	-0.600891
1676.750000	-0.650330
1676.687500	-0.604553
1676.625000	-0.603027
1676.562500	-0.598755
1676.500000	-0.638428
1676.437500	-0.636597
1676.375000	-0.635681
1676.312500	-0.552978
1676.250000	-0.601501
1676.187500	-0.639038
1676.125000	-0.644531
1676.062500	-0.646362
1676.000000	-0.673828
1675.937500	-0.604553
1675.875000	-0.617981
1675.812500	-0.613708
1675.750000	-0.632019
1675.687500	-0.646057
1675.625000	-0.633240
1675.562500	-0.624084
1675.500000	-0.623169
1675.437500	-0.634766
1675.375000	-0.641174
1675.312500	-0.632324
1675.250000	-0.634766
1675.187500	-0.635376
1675.125000	-0.638428
1675.062500	-0.620117
1675.000000	-0.619202
1674.937500	-0.618286
1674.875000	-0.641785
1674.812500	-0.597839
1674.750000	-0.600281
1674.687500	-0.654297
1674.625000	-0.653686
1674.562500	-0.609741
1674.500000	-0.610657
1674.437500	-0.639038
1674.375000	-0.639038
1674.312500	-0.677795
1674.250000	-0.647278
1674.187500	-0.614319
1674.125000	-0.609131
1674.062500	-0.610046
1674.000000	-0.623169
1673.937500	-0.631714
1673.875000	-0.629883
1673.812500	-0.623474
1673.750000	-0.622864
1673.687500	-0.641479
1673.625000	-0.616760
1673.562500	-0.621033
1673.500000	-0.622253
1673.437500	-0.630798
1673.375000	-0.629578
1673.312500	-0.636597
1673.250000	-0.636597
1673.187500	-0.639343
1673.125000	-0.610962
1673.062500	-0.605163
1673.000000	-0.640564
1672.937500	-0.640259
1672.875000	-0.610046
1672.812500	-0.621033
1672.750000	-0.636597
1672.687500	-0.609436
1672.625000	-0.609741
1672.562500	-0.655212
1672.500000	-0.638122
1672.437500	-0.597229
1672.375000	-0.597229
1672.312500	-0.607910
1672.250000	-0.634155
1672.187500	-0.580139
1672.125000	-0.625915
1672.062500	-0.626831
1672.000000	-0.606995
1671.937500	-0.622253
1671.875000	-0.614624
1671.812500	-0.630798
1671.750000	-0.629272
1671.687500	-0.609741
1671.625000	-0.596619
1671.562500	-0.588989
1671.500000	-0.589600
1671.437500	-0.622253
1671.375000	-0.635681
1671.312500	-0.625915
1671.250000	-0.631103
1671.187500	-0.630798
1671.125000	-0.633545
1671.062500	-0.601807
1671.000000	-0.634460
1670.937500	-0.636291
1670.875000	-0.603943
1670.812500	-0.623474
1670.750000	-0.619507
1670.687500	-0.625000
1670.625000	-0.623779
1670.562500	-0.603027
1670.500000	-0.615845
1670.437500	-0.646973
1670.375000	-0.645142
