Zeitstempel: 18.9.2013 14:01:50
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 100s
FM
Amplitude 79mV
Richtung min->max
min Frequenz 1300Hz
max Frequenz 1700Hz

Frequenz in Hz	S/H-Signal in V
1300.062500	-0.480041
1300.125000	-0.477600
1300.187500	-0.481872
1300.250000	-0.470581
1300.312500	-0.467224
1300.375000	-0.486755
1300.437500	-0.470276
1300.500000	-0.494080
1300.562500	-0.503540
1300.625000	-0.503540
1300.687500	-0.480957
1300.750000	-0.491028
1300.812500	-0.486450
1300.875000	-0.483093
1300.937500	-0.483093
1301.000000	-0.458679
1301.062500	-0.487060
1301.125000	-0.486145
1301.187500	-0.486755
1301.250000	-0.463257
1301.312500	-0.470276
1301.375000	-0.481262
1301.437500	-0.488586
1301.500000	-0.488281
1301.562500	-0.477905
1301.625000	-0.451965
1301.687500	-0.465088
1301.750000	-0.463562
1301.812500	-0.461731
1301.875000	-0.498047
1301.937500	-0.500488
1302.000000	-0.467529
1302.062500	-0.468140
1302.125000	-0.487671
1302.187500	-0.477600
1302.250000	-0.458069
1302.312500	-0.453796
1302.375000	-0.500793
1302.437500	-0.489502
1302.500000	-0.480041
1302.562500	-0.463257
1302.625000	-0.463257
1302.687500	-0.495300
1302.750000	-0.493774
1302.812500	-0.462036
1302.875000	-0.476684
1302.937500	-0.480957
1303.000000	-0.494080
1303.062500	-0.517273
1303.125000	-0.477600
1303.187500	-0.478821
1303.250000	-0.476379
1303.312500	-0.474243
1303.375000	-0.481567
1303.437500	-0.487060
1303.500000	-0.485840
1303.562500	-0.480957
1303.625000	-0.453186
1303.687500	-0.481262
1303.750000	-0.481262
1303.812500	-0.462341
1303.875000	-0.499267
1303.937500	-0.506897
1304.000000	-0.490417
1304.062500	-0.487976
1304.125000	-0.482178
1304.187500	-0.507507
1304.250000	-0.498352
1304.312500	-0.497436
1304.375000	-0.489807
1304.437500	-0.447693
1304.500000	-0.501099
1304.562500	-0.500488
1304.625000	-0.502319
1304.687500	-0.456543
1304.750000	-0.485229
1304.812500	-0.504455
1304.875000	-0.499573
1304.937500	-0.488586
1305.000000	-0.493164
1305.062500	-0.514526
1305.125000	-0.477600
1305.187500	-0.475159
1305.250000	-0.480652
1305.312500	-0.479736
1305.375000	-0.466614
1305.437500	-0.456543
1305.500000	-0.457764
1305.562500	-0.466003
1305.625000	-0.516357
1305.687500	-0.489502
1305.750000	-0.488892
1305.812500	-0.532532
1305.875000	-0.513306
1305.937500	-0.527038
1306.000000	-0.563049
1306.062500	-0.562439
1306.125000	-0.592651
1306.187500	-0.577698
1306.250000	-0.601501
1306.312500	-0.601196
1306.375000	-0.610046
1306.437500	-0.608520
1306.500000	-0.639648
1306.562500	-0.649719
1306.625000	-0.649719
1306.687500	-0.641479
1306.750000	-0.624084
1306.812500	-0.693970
1306.875000	-0.690918
1306.937500	-0.640564
1307.000000	-0.675354
1307.062500	-0.663757
1307.125000	-0.649719
1307.187500	-0.649719
1307.250000	-0.602417
1307.312500	-0.635376
1307.375000	-0.672302
1307.437500	-0.616455
1307.500000	-0.690613
1307.562500	-0.618286
1307.625000	-0.604553
1307.687500	-0.651245
1307.750000	-0.650024
1307.812500	-0.611877
1307.875000	-0.628357
1307.937500	-0.645142
1308.000000	-0.623779
1308.062500	-0.624695
1308.125000	-0.635986
1308.187500	-0.642395
1308.250000	-0.635986
1308.312500	-0.635681
1308.375000	-0.629578
