Zeitstempel: 18.9.2013 14:20:42
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1490Hz
Richtung min->max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0.010000	-0.345154
0.010061	-0.372620
0.010122	-0.372314
0.010183	-0.371704
0.010244	-0.408630
0.010305	-0.427551
0.010366	-0.410767
0.010427	-0.414429
0.010488	-0.418396
0.010548	-0.389404
0.010609	-0.402527
0.010670	-0.393677
0.010731	-0.394287
0.010792	-0.424805
0.010853	-0.426636
0.010914	-0.425720
0.010975	-0.385132
0.011036	-0.385132
0.011097	-0.420227
0.011158	-0.407715
0.011219	-0.397949
0.011280	-0.395203
0.011341	-0.404968
0.011402	-0.371094
0.011463	-0.369568
0.011523	-0.383606
0.011584	-0.382996
0.011645	-0.366821
0.011706	-0.412903
0.011767	-0.399475
0.011828	-0.399170
0.011889	-0.383301
0.011950	-0.408935
0.012011	-0.369873
0.012072	-0.386047
0.012133	-0.385437
0.012194	-0.413513
0.012255	-0.405579
0.012316	-0.372925
0.012377	-0.393066
0.012437	-0.398254
0.012498	-0.407715
0.012559	-0.395203
0.012620	-0.404358
0.012681	-0.405884
0.012742	-0.394592
0.012803	-0.437622
0.012864	-0.400085
0.012925	-0.394287
0.012986	-0.394287
0.013047	-0.382690
0.013108	-0.397644
0.013169	-0.389709
0.013230	-0.386963
0.013291	-0.418091
0.013352	-0.400391
0.013412	-0.396423
0.013473	-0.439148
0.013534	-0.436706
0.013595	-0.347900
0.013656	-0.379333
0.013717	-0.402832
0.013778	-0.401001
0.013839	-0.395508
0.013900	-0.401916
0.013961	-0.372620
0.014022	-0.421753
0.014083	-0.421142
0.014144	-0.404663
0.014205	-0.387268
0.014266	-0.388794
0.014327	-0.387878
0.014388	-0.365601
0.014448	-0.390015
0.014509	-0.395813
0.014570	-0.380554
0.014631	-0.378723
0.014692	-0.426941
0.014753	-0.399780
0.014814	-0.403137
0.014875	-0.396728
0.014936	-0.388184
0.014997	-0.389404
0.015058	-0.357666
0.015119	-0.375366
0.015180	-0.375061
0.015241	-0.424194
0.015302	-0.391846
0.015363	-0.379028
0.015423	-0.411377
0.015484	-0.414734
