Zeitstempel: 18.9.2013 14:14:57
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1500Hz
Richtung min<-max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0.400000	-0.392456
0.399939	-0.390625
0.399878	-0.398559
0.399817	-0.397644
0.399756	-0.384216
0.399695	-0.391540
0.399634	-0.369873
0.399573	-0.367432
0.399513	-0.399475
0.399452	-0.366516
0.399391	-0.393066
0.399330	-0.405273
0.399269	-0.403747
0.399208	-0.382080
0.399147	-0.422058
0.399086	-0.405579
0.399025	-0.365295
0.398964	-0.354919
0.398903	-0.408630
0.398842	-0.428162
0.398781	-0.394287
0.398720	-0.392761
0.398659	-0.388794
0.398598	-0.375061
0.398538	-0.396118
0.398477	-0.403442
0.398416	-0.405273
0.398355	-0.419922
0.398294	-0.392456
0.398233	-0.391540
0.398172	-0.390625
0.398111	-0.404663
0.398050	-0.384827
0.397989	-0.395813
0.397928	-0.368652
0.397867	-0.369263
0.397806	-0.376892
0.397745	-0.364990
0.397684	-0.408935
0.397623	-0.407715
0.397562	-0.390320
0.397502	-0.349426
0.397441	-0.394897
0.397380	-0.413513
0.397319	-0.412598
0.397258	-0.373230
0.397197	-0.402832
0.397136	-0.389404
0.397075	-0.438232
0.397014	-0.438232
0.396953	-0.381164
0.396892	-0.379028
0.396831	-0.377502
0.396770	-0.378113
0.396709	-0.412292
0.396648	-0.413513
0.396587	-0.408630
0.396527	-0.413513
0.396466	-0.411682
0.396405	-0.361633
0.396344	-0.385132
0.396283	-0.443115
0.396222	-0.442200
0.396161	-0.427246
0.396100	-0.460205
0.396039	-0.415649
0.395978	-0.347900
0.395917	-0.345154
0.395856	-0.380554
0.395795	-0.459595
0.395734	-0.413513
0.395673	-0.378418
0.395613	-0.380859
0.395552	-0.387878
0.395491	-0.404663
0.395430	-0.423279
0.395369	-0.420532
0.395308	-0.408630
0.395247	-0.421753
0.395186	-0.404968
0.395125	-0.403747
0.395064	-0.405273
0.395003	-0.378723
0.394942	-0.377502
0.394881	-0.372009
0.394820	-0.371399
0.394759	-0.395813
0.394698	-0.363769
0.394638	-0.383911
0.394577	-0.407715
0.394516	-0.409241
0.394455	-0.409241
0.394394	-0.427856
0.394333	-0.466614
0.394272	-0.462952
0.394211	-0.497131
0.394150	-0.497131
0.394089	-0.506287
0.394028	-0.503845
0.393967	-0.504150
0.393906	-0.555420
0.393845	-0.607605
0.393784	-0.557251
0.393723	-0.539246
0.393662	-0.545654
0.393602	-0.610657
0.393541	-0.599365
