Zeitstempel: 18.9.2013 12:49:43
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 100s
FM
Amplitude 50mV
Richtung min->max
min Frequenz 1200Hz
max Frequenz 1800Hz

Frequenz in Hz	S/H-Signal in V
1200,093750	-0,638428
1200,187500	-0,631103
1200,281250	-0,629272
1200,375000	-0,630798
1200,468750	-0,671997
1200,562500	-0,638733
1200,656250	-0,643616
1200,750000	-0,651245
1200,843750	-0,653992
1200,937500	-0,634460
1201,031250	-0,612183
1201,125000	-0,636291
1201,218750	-0,635071
1201,312500	-0,648193
1201,406250	-0,608520
1201,500000	-0,668030
1201,593750	-0,690002
1201,687500	-0,688171
1201,781250	-0,654907
1201,875000	-0,637817
1201,968750	-0,628052
1202,062500	-0,629578
1202,156250	-0,653381
1202,250000	-0,606689
1202,343750	-0,680542
1202,437500	-0,632629
1202,531250	-0,633850
1202,625000	-0,624390
1202,718750	-0,636597
1202,812500	-0,617065
1202,906250	-0,615845
1203,000000	-0,637817
1203,093750	-0,642700
1203,187500	-0,626831
1203,281250	-0,643310
1203,375000	-0,646057
1203,468750	-0,631409
1203,562500	-0,663147
1203,656250	-0,606384
1203,750000	-0,618286
1203,843750	-0,652161
1203,937500	-0,643921
1204,031250	-0,638733
1204,125000	-0,614929
1204,218750	-0,615234
1204,312500	-0,625000
1204,406250	-0,642700
1204,500000	-0,622864
1204,593750	-0,656433
1204,687500	-0,653992
1204,781250	-0,624084
1204,875000	-0,669861
1204,968750	-0,639038
1205,062500	-0,640259
1205,156250	-0,627441
1205,250000	-0,645142
1205,343750	-0,649109
1205,437500	-0,633545
1205,531250	-0,633850
1205,625000	-0,652161
1205,718750	-0,649414
1205,812500	-0,634460
1205,906250	-0,631409
1206,000000	-0,652161
1206,093750	-0,669250
1206,187500	-0,652466
1206,281250	-0,650330
1206,375000	-0,650024
1206,468750	-0,652466
1206,562500	-0,637817
1206,656250	-0,625000
1206,750000	-0,640259
1206,843750	-0,637512
1206,937500	-0,645447
1207,031250	-0,662231
1207,125000	-0,645142
1207,218750	-0,643310
1207,312500	-0,614014
1207,406250	-0,628662
1207,500000	-0,642395
1207,593750	-0,652161
1207,687500	-0,650330
1207,781250	-0,625610
1207,875000	-0,655212
1207,968750	-0,639648
1208,062500	-0,636597
1208,156250	-0,629272
1208,250000	-0,659790
1208,343750	-0,612488
1208,437500	-0,644226
1208,531250	-0,643616
1208,625000	-0,612793
1208,718750	-0,656128
1208,812500	-0,672607
1208,906250	-0,623169
1209,000000	-0,626526
1209,093750	-0,671081
1209,187500	-0,634766
1209,281250	-0,615234
1209,375000	-0,615845
1209,468750	-0,629578
1209,562500	-0,628357
1209,656250	-0,639343
1209,750000	-0,635986
1209,843750	-0,635986
1209,937500	-0,624695
1210,031250	-0,620117
1210,125000	-0,643310
1210,218750	-0,642700
1210,312500	-0,650024
1210,406250	-0,652161
1210,500000	-0,633850
1210,593750	-0,622559
1210,687500	-0,621338
1210,781250	-0,652466
1210,875000	-0,626221
1210,968750	-0,644836
1211,062500	-0,663757
1211,156250	-0,651855
1211,250000	-0,641479
1211,343750	-0,633850
1211,437500	-0,628662
1211,531250	-0,630493
1211,625000	-0,651855
1211,718750	-0,635986
1211,812500	-0,639954
1211,906250	-0,639343
1212,000000	-0,640869
1212,093750	-0,638122
1212,187500	-0,645752
1212,281250	-0,669861
1212,375000	-0,668030
1212,468750	-0,612793
1212,562500	-0,625915
1212,656250	-0,621643
1212,750000	-0,623474
1212,843750	-0,626221
1212,937500	-0,649109
1213,031250	-0,633850
1213,125000	-0,659485
1213,218750	-0,657349
1213,312500	-0,642090
1213,406250	-0,662842
1213,500000	-0,645447
1213,593750	-0,629578
1213,687500	-0,626221
1213,781250	-0,604553
1213,875000	-0,679016
1213,968750	-0,675964
1214,062500	-0,674438
1214,156250	-0,659485
1214,250000	-0,637207
1214,343750	-0,662842
1214,437500	-0,635681
1214,531250	-0,635376
1214,625000	-0,635376
1214,718750	-0,630493
1214,812500	-0,653686
1214,906250	-0,651855
1215,000000	-0,652771
1215,093750	-0,635986
1215,187500	-0,657959
1215,281250	-0,617981
1215,375000	-0,616760
1215,468750	-0,632324
1215,562500	-0,627746
1215,656250	-0,656738
1215,750000	-0,635376
1215,843750	-0,634766
1215,937500	-0,619202
1216,031250	-0,656738
1216,125000	-0,657349
1216,218750	-0,653381
1216,312500	-0,648193
1216,406250	-0,659180
1216,500000	-0,652161
1216,593750	-0,632324
1216,687500	-0,632324
1216,781250	-0,634460
1216,875000	-0,643921
1216,968750	-0,646362
1217,062500	-0,646362
1217,156250	-0,647888
1217,250000	-0,629578
1217,343750	-0,630493
1217,437500	-0,667725
1217,531250	-0,665588
1217,625000	-0,632019
1217,718750	-0,617371
1217,812500	-0,636902
1217,906250	-0,637817
1218,000000	-0,635071
1218,093750	-0,628662
1218,187500	-0,624695
1218,281250	-0,638122
1218,375000	-0,635071
1218,468750	-0,632019
1218,562500	-0,642700
1218,656250	-0,634155
1218,750000	-0,647278
1218,843750	-0,646973
1218,937500	-0,662842
1219,031250	-0,633850
1219,125000	-0,634766
1219,218750	-0,631409
1219,312500	-0,643005
1219,406250	-0,640869
1219,500000	-0,660400
1219,593750	-0,648804
1219,687500	-0,648804
1219,781250	-0,612488
1219,875000	-0,649719
1219,968750	-0,646667
1220,062500	-0,625610
1220,156250	-0,624695
1220,250000	-0,664673
1220,343750	-0,613098
1220,437500	-0,624084
1220,531250	-0,624084
1220,625000	-0,653381
1220,718750	-0,628052
1220,812500	-0,655517
1220,906250	-0,664673
1221,000000	-0,661011
1221,093750	-0,646362
1221,187500	-0,611572
1221,281250	-0,658264
1221,375000	-0,658569
1221,468750	-0,647888
1221,562500	-0,650635
1221,656250	-0,643310
1221,750000	-0,614319
1221,843750	-0,611572
1221,937500	-0,629883
1222,031250	-0,638428
1222,125000	-0,658569
1222,218750	-0,658569
1222,312500	-0,642090
1222,406250	-0,622559
1222,500000	-0,635986
1222,593750	-0,648804
1222,687500	-0,649414
1222,781250	-0,613708
1222,875000	-0,629578
1222,968750	-0,652161
1223,062500	-0,625915
1223,156250	-0,621643
1223,250000	-0,653686
1223,343750	-0,667725
1223,437500	-0,616150
1223,531250	-0,613403
1223,625000	-0,654297
1223,718750	-0,601807
1223,812500	-0,637817
1223,906250	-0,683594
1224,000000	-0,682678
1224,093750	-0,661316
1224,187500	-0,648804
1224,281250	-0,649109
1224,375000	-0,646667
1224,468750	-0,602417
1224,562500	-0,620117
1224,656250	-0,604248
1224,750000	-0,679932
1224,843750	-0,679016
1224,937500	-0,617981
1225,031250	-0,622864
1225,125000	-0,651550
1225,218750	-0,638122
1225,312500	-0,642395
1225,406250	-0,636597
1225,500000	-0,686035
1225,593750	-0,668335
1225,687500	-0,667725
1225,781250	-0,655212
1225,875000	-0,641785
1225,968750	-0,613403
1226,062500	-0,614624
1226,156250	-0,614929
1226,250000	-0,610962
1226,343750	-0,660095
1226,437500	-0,616455
1226,531250	-0,613708
1226,625000	-0,624084
1226,718750	-0,625610
1226,812500	-0,629883
1226,906250	-0,647583
1227,000000	-0,646057
1227,093750	-0,649109
1227,187500	-0,636902
1227,281250	-0,654907
1227,375000	-0,651550
1227,468750	-0,670166
1227,562500	-0,615845
1227,656250	-0,647888
1227,750000	-0,651855
1227,843750	-0,653076
1227,937500	-0,626831
1228,031250	-0,642395
1228,125000	-0,653381
1228,218750	-0,622253
1228,312500	-0,625610
1228,406250	-0,641785
1228,500000	-0,631714
1228,593750	-0,618286
1228,687500	-0,618591
1228,781250	-0,649719
1228,875000	-0,676269
1228,968750	-0,624390
1229,062500	-0,649109
1229,156250	-0,647888
1229,250000	-0,629883
1229,343750	-0,639648
1229,437500	-0,673828
