Zeitstempel: 18.9.2013 15:32:52
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 50s
FM
Strom Helmholtz 80mA
Amplitude 45mV
Richtung min<-max
min Frequenz 11300Hz
max Frequenz 11700Hz

Frequenz in Hz	S/H-Signal in V
11699.875000	-0.670166
11699.750000	-0.664062
11699.625000	-0.658569
11699.500000	-0.682678
11699.375000	-0.667725
11699.250000	-0.667114
11699.125000	-0.717163
11699.000000	-0.716858
11698.875000	-0.650024
11698.750000	-0.708618
11698.625000	-0.663757
11698.500000	-0.662842
11698.375000	-0.695801
11698.250000	-0.635986
11698.125000	-0.731201
11698.000000	-0.705566
11697.875000	-0.704040
11697.750000	-0.697632
11697.625000	-0.654907
11697.500000	-0.687866
11697.375000	-0.684204
11697.250000	-0.684814
11697.125000	-0.651550
11697.000000	-0.709839
11696.875000	-0.670166
11696.750000	-0.669861
11696.625000	-0.671081
11696.500000	-0.658264
11696.375000	-0.690613
11696.250000	-0.674438
11696.125000	-0.675964
11696.000000	-0.655823
11695.875000	-0.689087
11695.750000	-0.670776
11695.625000	-0.668640
11695.500000	-0.689697
11695.375000	-0.693054
11695.250000	-0.676880
11695.125000	-0.664062
11695.000000	-0.663757
11694.875000	-0.639954
11694.750000	-0.652466
11694.625000	-0.626831
11694.500000	-0.658569
11694.375000	-0.656738
11694.250000	-0.707703
11694.125000	-0.652161
11694.000000	-0.675964
11693.875000	-0.674133
11693.750000	-0.670471
11693.625000	-0.652771
11693.500000	-0.717773
11693.375000	-0.694580
11693.250000	-0.695801
11693.125000	-0.686035
11693.000000	-0.708313
11692.875000	-0.646973
11692.750000	-0.648804
11692.625000	-0.692749
11692.500000	-0.689087
11692.375000	-0.685120
11692.250000	-0.697632
11692.125000	-0.700378
11692.000000	-0.688171
11691.875000	-0.684204
11691.750000	-0.664368
11691.625000	-0.664062
11691.500000	-0.671081
11691.375000	-0.686951
11691.250000	-0.665283
11691.125000	-0.685120
11691.000000	-0.687561
11690.875000	-0.704346
11690.750000	-0.685120
11690.625000	-0.687866
11690.500000	-0.682983
11690.375000	-0.668640
11690.250000	-0.669556
11690.125000	-0.692749
11690.000000	-0.671692
11689.875000	-0.671692
11689.750000	-0.678711
11689.625000	-0.664368
11689.500000	-0.698242
11689.375000	-0.724792
11689.250000	-0.726013
11689.125000	-0.692749
11689.000000	-0.693054
11688.875000	-0.667114
11688.750000	-0.666504
11688.625000	-0.663452
11688.500000	-0.655212
11688.375000	-0.704346
11688.250000	-0.663147
11688.125000	-0.662231
11688.000000	-0.686035
11687.875000	-0.682678
11687.750000	-0.675964
11687.625000	-0.676269
11687.500000	-0.670166
11687.375000	-0.671997
11687.250000	-0.664978
11687.125000	-0.653686
11687.000000	-0.653686
11686.875000	-0.682068
11686.750000	-0.696106
11686.625000	-0.675354
11686.500000	-0.672913
11686.375000	-0.646362
11686.250000	-0.668640
11686.125000	-0.697937
11686.000000	-0.684204
11685.875000	-0.683594
11685.750000	-0.673218
11685.625000	-0.645752
11685.500000	-0.679626
11685.375000	-0.677795
11685.250000	-0.684814
11685.125000	-0.668335
11685.000000	-0.694275
11684.875000	-0.676269
11684.750000	-0.675659
11684.625000	-0.687256
11684.500000	-0.656738
11684.375000	-0.655517
11684.250000	-0.651245
11684.125000	-0.691528
11684.000000	-0.719604
11683.875000	-0.714416
11683.750000	-0.704956
11683.625000	-0.704346
11683.500000	-0.676880
11683.375000	-0.688782
11683.250000	-0.700378
11683.125000	-0.667419
11683.000000	-0.669861
11682.875000	-0.667419
11682.750000	-0.678101
11682.625000	-0.676575
11682.500000	-0.674744
11682.375000	-0.664673
11682.250000	-0.629272
11682.125000	-0.700684
11682.000000	-0.697327
11681.875000	-0.695190
11681.750000	-0.685120
11681.625000	-0.664368
11681.500000	-0.719299
11681.375000	-0.719299
11681.250000	-0.692749
11681.125000	-0.655823
11681.000000	-0.652771
11680.875000	-0.662537
11680.750000	-0.661621
11680.625000	-0.695190
11680.500000	-0.652466
11680.375000	-0.658569
11680.250000	-0.655517
11680.125000	-0.685425
11680.000000	-0.696411
11679.875000	-0.664673
11679.750000	-0.690308
11679.625000	-0.690613
11679.500000	-0.655517
11679.375000	-0.671387
11679.250000	-0.699158
11679.125000	-0.655823
11679.000000	-0.653381
11678.875000	-0.697021
11678.750000	-0.675964
11678.625000	-0.682983
11678.500000	-0.683899
11678.375000	-0.644836
11678.250000	-0.682373
11678.125000	-0.669250
11678.000000	-0.682983
11677.875000	-0.685120
11677.750000	-0.681763
11677.625000	-0.702515
11677.500000	-0.657959
11677.375000	-0.652161
11677.250000	-0.691528
11677.125000	-0.656128
11677.000000	-0.688476
11676.875000	-0.649719
11676.750000	-0.649109
11676.625000	-0.664978
11676.500000	-0.674438
11676.375000	-0.673523
11676.250000	-0.728760
11676.125000	-0.730591
11676.000000	-0.699768
11675.875000	-0.710144
11675.750000	-0.658569
11675.625000	-0.658264
11675.500000	-0.698242
11675.375000	-0.672913
11675.250000	-0.701599
11675.125000	-0.681763
11675.000000	-0.682678
11674.875000	-0.658874
11674.750000	-0.696106
11674.625000	-0.689087
11674.500000	-0.689392
11674.375000	-0.664978
11674.250000	-0.649109
11674.125000	-0.659180
11674.000000	-0.681457
11673.875000	-0.680237
11673.750000	-0.692444
11673.625000	-0.680542
11673.500000	-0.650940
11673.375000	-0.647583
11673.250000	-0.652466
11673.125000	-0.687256
11673.000000	-0.642090
11672.875000	-0.661926
11672.750000	-0.659180
11672.625000	-0.732117
11672.500000	-0.678406
11672.375000	-0.675354
11672.250000	-0.674133
11672.125000	-0.698852
11672.000000	-0.691528
11671.875000	-0.629272
11671.750000	-0.677795
11671.625000	-0.676880
11671.500000	-0.675354
11671.375000	-0.663452
11671.250000	-0.654907
11671.125000	-0.653076
11671.000000	-0.637207
11670.875000	-0.673218
11670.750000	-0.674133
11670.625000	-0.667725
11670.500000	-0.667725
11670.375000	-0.680542
11670.250000	-0.648498
11670.125000	-0.690918
11670.000000	-0.668335
11669.875000	-0.667114
11669.750000	-0.681152
11669.625000	-0.686951
11669.500000	-0.685425
11669.375000	-0.681763
11669.250000	-0.661621
11669.125000	-0.656128
11669.000000	-0.662537
11668.875000	-0.684204
11668.750000	-0.683899
11668.625000	-0.701294
11668.500000	-0.683288
11668.375000	-0.672913
11668.250000	-0.672302
11668.125000	-0.664673
11668.000000	-0.692139
11667.875000	-0.711059
11667.750000	-0.681152
11667.625000	-0.680542
11667.500000	-0.678406
