Zeitstempel: 18.9.2013 15:31:56
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 50s
FM
Strom Helmholtz 80mA
Amplitude 45mV
Richtung min->max
min Frequenz 11300Hz
max Frequenz 11700Hz

Frequenz in Hz	S/H-Signal in V
11300.125000	-0.618591
11300.250000	-0.715332
11300.375000	-0.701294
11300.500000	-0.699768
11300.625000	-0.718689
11300.750000	-0.719299
11300.875000	-0.737915
11301.000000	-0.637512
11301.125000	-0.678711
11301.250000	-0.675964
11301.375000	-0.679016
11301.500000	-0.650024
11301.625000	-0.626221
11301.750000	-0.699768
11301.875000	-0.699768
11302.000000	-0.691223
11302.125000	-0.664368
11302.250000	-0.724182
11302.375000	-0.726318
11302.500000	-0.686951
11302.625000	-0.738220
11302.750000	-0.660400
11302.875000	-0.655212
11303.000000	-0.654602
11303.125000	-0.664368
11303.250000	-0.690613
11303.375000	-0.696106
11303.500000	-0.694580
11303.625000	-0.623779
11303.750000	-0.647583
11303.875000	-0.733032
11304.000000	-0.672302
11304.125000	-0.672302
11304.250000	-0.724792
11304.375000	-0.687561
11304.500000	-0.681152
11304.625000	-0.639038
11304.750000	-0.644836
11304.875000	-0.665588
11305.000000	-0.544128
11305.125000	-0.656128
11305.250000	-0.653686
11305.375000	-0.701599
11305.500000	-0.676880
11305.625000	-0.699768
11305.750000	-0.657959
11305.875000	-0.656128
11306.000000	-0.662231
11306.125000	-0.670776
11306.250000	-0.724487
11306.375000	-0.722046
11306.500000	-0.712280
11306.625000	-0.606079
11306.750000	-0.755615
11306.875000	-0.625915
11307.000000	-0.624390
11307.125000	-0.722046
11307.250000	-0.669861
11307.375000	-0.687561
11307.500000	-0.671081
11307.625000	-0.656738
11307.750000	-0.702820
11307.875000	-0.722351
11308.000000	-0.722656
11308.125000	-0.721741
11308.250000	-0.662537
11308.375000	-0.691223
11308.500000	-0.692139
11308.625000	-0.627746
11308.750000	-0.628357
11308.875000	-0.659485
11309.000000	-0.674438
11309.125000	-0.651245
11309.250000	-0.650024
11309.375000	-0.701904
11309.500000	-0.713806
11309.625000	-0.714111
11309.750000	-0.643616
11309.875000	-0.642395
11310.000000	-0.653686
11310.125000	-0.688171
11310.250000	-0.700073
11310.375000	-0.700378
11310.500000	-0.686035
11310.625000	-0.739441
11310.750000	-0.707092
11310.875000	-0.678406
11311.000000	-0.677795
11311.125000	-0.682373
11311.250000	-0.699463
11311.375000	-0.689392
11311.500000	-0.685120
11311.625000	-0.628357
11311.750000	-0.646973
11311.875000	-0.604858
11312.000000	-0.635071
11312.125000	-0.635681
11312.250000	-0.711670
11312.375000	-0.649719
11312.500000	-0.697021
11312.625000	-0.637817
11312.750000	-0.640259
11312.875000	-0.684509
11313.000000	-0.657349
11313.125000	-0.681457
11313.250000	-0.679016
11313.375000	-0.715942
11313.500000	-0.662537
11313.625000	-0.683899
11313.750000	-0.677795
11313.875000	-0.664978
11314.000000	-0.668335
11314.125000	-0.718079
11314.250000	-0.636291
11314.375000	-0.634460
11314.500000	-0.660400
11314.625000	-0.697327
11314.750000	-0.687256
11314.875000	-0.608520
11315.000000	-0.610046
11315.125000	-0.750732
11315.250000	-0.640259
11315.375000	-0.647583
11315.500000	-0.646667
11315.625000	-0.666809
11315.750000	-0.670471
11315.875000	-0.712891
11316.000000	-0.707092
11316.125000	-0.706177
11316.250000	-0.680237
11316.375000	-0.724792
11316.500000	-0.679321
11316.625000	-0.677490
11316.750000	-0.677185
11316.875000	-0.685730
11317.000000	-0.632019
11317.125000	-0.632934
11317.250000	-0.632324
11317.375000	-0.738830
11317.500000	-0.675049
11317.625000	-0.685120
11317.750000	-0.683288
11317.875000	-0.688476
11318.000000	-0.631714
11318.125000	-0.738525
11318.250000	-0.703125
11318.375000	-0.703735
11318.500000	-0.686645
11318.625000	-0.664978
11318.750000	-0.659180
11318.875000	-0.679932
11319.000000	-0.686035
11319.125000	-0.689392
11319.250000	-0.660400
11319.375000	-0.668335
11319.500000	-0.669861
11319.625000	-0.667725
11319.750000	-0.705566
11319.875000	-0.664368
11320.000000	-0.694580
11320.125000	-0.693359
11320.250000	-0.645447
11320.375000	-0.720825
11320.500000	-0.615539
11320.625000	-0.610657
11320.750000	-0.635986
11320.875000	-0.716553
11321.000000	-0.737915
11321.125000	-0.679626
11321.250000	-0.678101
11321.375000	-0.746765
11321.500000	-0.761719
11321.625000	-0.630188
11321.750000	-0.639648
11321.875000	-0.643616
11322.000000	-0.629578
11322.125000	-0.701904
11322.250000	-0.640564
11322.375000	-0.643005
11322.500000	-0.596924
11322.625000	-0.689392
11322.750000	-0.684509
11322.875000	-0.690613
11323.000000	-0.689697
11323.125000	-0.567627
11323.250000	-0.618286
11323.375000	-0.646667
11323.500000	-0.648498
11323.625000	-0.709228
11323.750000	-0.634155
11323.875000	-0.643310
11324.000000	-0.656128
11324.125000	-0.653076
11324.250000	-0.681152
11324.375000	-0.700989
11324.500000	-0.697021
11324.625000	-0.696411
11324.750000	-0.693359
11324.875000	-0.671997
11325.000000	-0.659485
11325.125000	-0.605774
11325.250000	-0.606384
11325.375000	-0.676880
11325.500000	-0.673828
11325.625000	-0.742187
11325.750000	-0.708923
11325.875000	-0.662842
11326.000000	-0.716247
11326.125000	-0.679016
11326.250000	-0.674744
11326.375000	-0.672913
11326.500000	-0.669250
11326.625000	-0.683288
11326.750000	-0.630798
11326.875000	-0.711059
11327.000000	-0.709839
11327.125000	-0.674744
11327.250000	-0.686951
11327.375000	-0.708313
11327.500000	-0.705261
11327.625000	-0.647278
11327.750000	-0.635986
11327.875000	-0.753479
11328.000000	-0.688171
11328.125000	-0.690002
11328.250000	-0.757446
11328.375000	-0.660095
11328.500000	-0.648193
11328.625000	-0.648804
11328.750000	-0.709228
11328.875000	-0.657654
11329.000000	-0.643616
11329.125000	-0.683899
11329.250000	-0.683899
11329.375000	-0.733948
11329.500000	-0.664673
11329.625000	-0.684509
11329.750000	-0.684814
11329.875000	-0.643005
11330.000000	-0.630188
11330.125000	-0.670166
11330.250000	-0.725403
11330.375000	-0.725708
11330.500000	-0.637512
11330.625000	-0.637207
11330.750000	-0.673218
11330.875000	-0.671081
11331.000000	-0.650635
11331.125000	-0.602112
11331.250000	-0.662231
11331.375000	-0.651245
11331.500000	-0.652161
11331.625000	-0.672913
11331.750000	-0.628967
11331.875000	-0.642395
11332.000000	-0.637817
11332.125000	-0.664673
11332.250000	-0.676575
11332.375000	-0.641785
11332.500000	-0.744018
11332.625000	-0.743103
11332.750000	-0.682068
11332.875000	-0.676880
11333.000000	-0.658569
11333.125000	-0.659790
11333.250000	-0.659485
11333.375000	-0.655517
11333.500000	-0.721130
11333.625000	-0.661316
11333.750000	-0.660095
11333.875000	-0.715332
11334.000000	-0.636597
11334.125000	-0.686645
11334.250000	-0.713806
11334.375000	-0.713501
11334.500000	-0.676269
11334.625000	-0.693970
11334.750000	-0.661926
11334.875000	-0.662842
11335.000000	-0.655517
11335.125000	-0.701904
11335.250000	-0.656128
11335.375000	-0.654602
11335.500000	-0.653992
11335.625000	-0.680237
11335.750000	-0.674133
11335.875000	-0.684814
11336.000000	-0.657349
11336.125000	-0.658264
11336.250000	-0.713501
11336.375000	-0.648193
11336.500000	-0.692139
11336.625000	-0.692139
11336.750000	-0.651550
11336.875000	-0.664062
11337.000000	-0.717773
11337.125000	-0.686951
11337.250000	-0.687256
11337.375000	-0.697937
11337.500000	-0.674133
11337.625000	-0.750122
11337.750000	-0.748291
11337.875000	-0.674133
11338.000000	-0.724792
11338.125000	-0.582886
11338.250000	-0.639954
11338.375000	-0.638733
11338.500000	-0.693359
11338.625000	-0.671387
11338.750000	-0.618591
11338.875000	-0.616150
11339.000000	-0.683288
11339.125000	-0.678101
11339.250000	-0.622559
11339.375000	-0.711975
11339.500000	-0.712585
11339.625000	-0.661621
11339.750000	-0.725098
11339.875000	-0.641479
11340.000000	-0.674133
11340.125000	-0.675964
11340.250000	-0.645142
11340.375000	-0.642700
11340.500000	-0.659790
11340.625000	-0.657654
11340.750000	-0.649719
11340.875000	-0.639343
11341.000000	-0.655823
11341.125000	-0.651550
11341.250000	-0.726318
11341.375000	-0.676575
11341.500000	-0.648498
11341.625000	-0.671081
11341.750000	-0.669556
11341.875000	-0.669250
11342.000000	-0.674744
11342.125000	-0.669556
11342.250000	-0.639954
11342.375000	-0.643310
11342.500000	-0.695496
11342.625000	-0.650635
11342.750000	-0.688782
11342.875000	-0.687866
11343.000000	-0.668335
11343.125000	-0.650024
11343.250000	-0.648498
11343.375000	-0.656128
11343.500000	-0.655212
11343.625000	-0.685425
11343.750000	-0.677795
11343.875000	-0.656128
11344.000000	-0.655212
11344.125000	-0.674744
11344.250000	-0.665283
11344.375000	-0.673218
11344.500000	-0.600891
11344.625000	-0.602417
11344.750000	-0.707703
11344.875000	-0.672607
11345.000000	-0.697632
11345.125000	-0.696106
11345.250000	-0.705566
11345.375000	-0.662231
11345.500000	-0.664673
11345.625000	-0.623169
11345.750000	-0.621338
11345.875000	-0.720825
11346.000000	-0.661316
11346.125000	-0.704346
11346.250000	-0.697021
11346.375000	-0.744324
11346.500000	-0.621338
11346.625000	-0.696411
11346.750000	-0.652466
11346.875000	-0.652161
11347.000000	-0.677490
11347.125000	-0.661621
11347.250000	-0.645752
11347.375000	-0.663147
11347.500000	-0.664673
11347.625000	-0.655212
11347.750000	-0.671997
11347.875000	-0.699768
11348.000000	-0.699463
11348.125000	-0.718994
11348.250000	-0.617981
11348.375000	-0.696411
11348.500000	-0.672302
11348.625000	-0.671387
11348.750000	-0.643921
11348.875000	-0.654602
11349.000000	-0.686645
11349.125000	-0.686340
11349.250000	-0.709228
11349.375000	-0.606689
11349.500000	-0.645142
11349.625000	-0.667725
11349.750000	-0.668030
11349.875000	-0.658569
11350.000000	-0.628662
11350.125000	-0.640259
11350.250000	-0.636597
11350.375000	-0.675659
11350.500000	-0.670166
11350.625000	-0.626526
11350.750000	-0.679321
11350.875000	-0.678711
11351.000000	-0.638122
11351.125000	-0.636597
11351.250000	-0.648804
11351.375000	-0.667114
11351.500000	-0.662537
11351.625000	-0.695801
11351.750000	-0.653076
11351.875000	-0.672302
11352.000000	-0.671692
11352.125000	-0.649109
11352.250000	-0.684814
11352.375000	-0.669861
11352.500000	-0.678101
11352.625000	-0.677185
11352.750000	-0.682678
11352.875000	-0.639954
11353.000000	-0.658874
11353.125000	-0.659485
11353.250000	-0.691223
11353.375000	-0.677490
11353.500000	-0.672913
11353.625000	-0.691528
11353.750000	-0.690918
11353.875000	-0.672913
11354.000000	-0.668640
11354.125000	-0.668945
11354.250000	-0.669861
11354.375000	-0.657654
11354.500000	-0.655823
11354.625000	-0.691528
11354.750000	-0.673218
11354.875000	-0.671081
11355.000000	-0.652161
11355.125000	-0.598144
11355.250000	-0.634766
11355.375000	-0.631103
11355.500000	-0.633240
11355.625000	-0.643616
11355.750000	-0.664368
11355.875000	-0.650330
11356.000000	-0.649719
