Zeitstempel: 18.9.2013 15:10:04
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 50s
FM
Strom Helmholtz -45mA
Amplitude 45mV
Richtung min<-max
min Frequenz 5400Hz
max Frequenz 5800Hz

Frequenz in Hz	S/H-Signal in V
5799.875000	-0.675354
5799.750000	-0.685730
5799.625000	-0.693359
5799.500000	-0.664368
5799.375000	-0.663452
5799.250000	-0.714722
5799.125000	-0.669250
5799.000000	-0.697937
5798.875000	-0.702209
5798.750000	-0.702515
5798.625000	-0.646057
5798.500000	-0.674744
5798.375000	-0.664978
5798.250000	-0.638733
5798.125000	-0.656738
5798.000000	-0.672607
5797.875000	-0.661011
5797.750000	-0.675354
5797.625000	-0.675964
5797.500000	-0.667114
5797.375000	-0.735474
5797.250000	-0.691833
5797.125000	-0.681457
5797.000000	-0.682068
5796.875000	-0.692749
5796.750000	-0.688171
5796.625000	-0.687561
5796.500000	-0.684814
5796.375000	-0.655823
5796.250000	-0.654297
5796.125000	-0.661926
5796.000000	-0.693054
5795.875000	-0.692444
5795.750000	-0.663757
5795.625000	-0.657654
5795.500000	-0.673523
5795.375000	-0.674744
5795.250000	-0.643310
5795.125000	-0.681152
5795.000000	-0.705566
5794.875000	-0.658874
5794.750000	-0.659790
5794.625000	-0.669556
5794.500000	-0.640564
5794.375000	-0.713196
5794.250000	-0.707703
5794.125000	-0.691833
5794.000000	-0.688476
5793.875000	-0.681457
5793.750000	-0.672302
5793.625000	-0.673218
5793.500000	-0.694275
5793.375000	-0.682983
5793.250000	-0.664062
5793.125000	-0.684814
5793.000000	-0.684204
5792.875000	-0.692444
5792.750000	-0.716858
5792.625000	-0.731201
5792.500000	-0.729980
5792.375000	-0.679626
5792.250000	-0.684204
5792.125000	-0.652771
5792.000000	-0.651245
5791.875000	-0.651550
5791.750000	-0.675659
5791.625000	-0.674438
5791.500000	-0.629578
5791.375000	-0.629272
5791.250000	-0.679016
5791.125000	-0.682678
5791.000000	-0.680542
5790.875000	-0.680237
5790.750000	-0.679016
5790.625000	-0.682068
5790.500000	-0.726318
5790.375000	-0.699463
5790.250000	-0.696716
5790.125000	-0.635376
5790.000000	-0.646973
5789.875000	-0.673828
5789.750000	-0.691833
5789.625000	-0.690002
5789.500000	-0.718384
5789.375000	-0.679016
5789.250000	-0.679626
5789.125000	-0.649719
5789.000000	-0.649109
5788.875000	-0.690002
5788.750000	-0.629883
5788.625000	-0.675354
5788.500000	-0.672913
5788.375000	-0.671081
