Zeitstempel: 18.9.2013 15:38:44
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 50s
FM
Strom Helmholtz -80mA
Amplitude 45mV
Richtung min->max
min Frequenz 10000Hz
max Frequenz 10400Hz

Frequenz in Hz	S/H-Signal in V
10000,125000	-0,650024
10000,250000	-0,697021
10000,375000	-0,666504
10000,500000	-0,689087
10000,625000	-0,689697
10000,750000	-0,674438
10000,875000	-0,689087
10001,000000	-0,701294
10001,125000	-0,649719
10001,250000	-0,650024
10001,375000	-0,680237
10001,500000	-0,675354
10001,625000	-0,650635
10001,750000	-0,650940
10001,875000	-0,687866
10002,000000	-0,689087
10002,125000	-0,679932
10002,250000	-0,667419
10002,375000	-0,667419
10002,500000	-0,687561
10002,625000	-0,670776
10002,750000	-0,661011
10002,875000	-0,656738
10003,000000	-0,693970
10003,125000	-0,708008
10003,250000	-0,683288
10003,375000	-0,642700
10003,500000	-0,641174
10003,625000	-0,686951
10003,750000	-0,714111
10003,875000	-0,695190
10004,000000	-0,664673
10004,125000	-0,668640
10004,250000	-0,676269
10004,375000	-0,667725
10004,500000	-0,695801
10004,625000	-0,697021
10004,750000	-0,655517
10004,875000	-0,646362
10005,000000	-0,675659
10005,125000	-0,672607
10005,250000	-0,670776
10005,375000	-0,669861
10005,500000	-0,699768
10005,625000	-0,690918
10005,750000	-0,690308
10005,875000	-0,689392
10006,000000	-0,666504
10006,125000	-0,632324
10006,250000	-0,653381
10006,375000	-0,653381
10006,500000	-0,675354
10006,625000	-0,700073
10006,750000	-0,675964
10006,875000	-0,699768
10007,000000	-0,700989
10007,125000	-0,705872
10007,250000	-0,644531
10007,375000	-0,658264
10007,500000	-0,659180
10007,625000	-0,658264
10007,750000	-0,673523
10007,875000	-0,677185
10008,000000	-0,674133
10008,125000	-0,676575
10008,250000	-0,680237
10008,375000	-0,640564
10008,500000	-0,686645
10008,625000	-0,686340
10008,750000	-0,686645
10008,875000	-0,702515
10009,000000	-0,700073
10009,125000	-0,670471
10009,250000	-0,669556
10009,375000	-0,641479
10009,500000	-0,658569
10009,625000	-0,695496
10009,750000	-0,694275
10009,875000	-0,652771
10010,000000	-0,656738
10010,125000	-0,666199
10010,250000	-0,699463
10010,375000	-0,696411
10010,500000	-0,686035
10010,625000	-0,652771
10010,750000	-0,666504
10010,875000	-0,694275
10011,000000	-0,694885
10011,125000	-0,664368
10011,250000	-0,657959
10011,375000	-0,662842
10011,500000	-0,661316
10011,625000	-0,664062
10011,750000	-0,722046
10011,875000	-0,671997
10012,000000	-0,677795
10012,125000	-0,678406
10012,250000	-0,628052
10012,375000	-0,666504
10012,500000	-0,653381
10012,625000	-0,651855
10012,750000	-0,701904
10012,875000	-0,660400
10013,000000	-0,679016
10013,125000	-0,673218
10013,250000	-0,673523
10013,375000	-0,643921
10013,500000	-0,644226
10013,625000	-0,664062
10013,750000	-0,665588
10013,875000	-0,678101
10014,000000	-0,681457
10014,125000	-0,711059
10014,250000	-0,666199
10014,375000	-0,664978
10014,500000	-0,673218
10014,625000	-0,658264
10014,750000	-0,685730
10014,875000	-0,669250
10015,000000	-0,668640
10015,125000	-0,664978
10015,250000	-0,652466
10015,375000	-0,682983
10015,500000	-0,682373
10015,625000	-0,650024
10015,750000	-0,625610
10015,875000	-0,654907
10016,000000	-0,670776
10016,125000	-0,675049
10016,250000	-0,677795
10016,375000	-0,686035
10016,500000	-0,640259
10016,625000	-0,643310
10016,750000	-0,658569
10016,875000	-0,690002
10017,000000	-0,664673
10017,125000	-0,673218
10017,250000	-0,673828
10017,375000	-0,645447
10017,500000	-0,664062
10017,625000	-0,690918
10017,750000	-0,691833
10017,875000	-0,657043
10018,000000	-0,670166
10018,125000	-0,648498
10018,250000	-0,649414
10018,375000	-0,650330
10018,500000	-0,679626
10018,625000	-0,636291
10018,750000	-0,643921
10018,875000	-0,638428
10019,000000	-0,647888
10019,125000	-0,682678
10019,250000	-0,667419
10019,375000	-0,708923
10019,500000	-0,708313
10019,625000	-0,684204
10019,750000	-0,644836
10019,875000	-0,636902
10020,000000	-0,656128
10020,125000	-0,657654
10020,250000	-0,659180
10020,375000	-0,671081
10020,500000	-0,675659
10020,625000	-0,674438
10020,750000	-0,679321
10020,875000	-0,690308
10021,000000	-0,649414
10021,125000	-0,659180
10021,250000	-0,658569
10021,375000	-0,663757
10021,500000	-0,653381
10021,625000	-0,666199
10021,750000	-0,690613
10021,875000	-0,671081
10022,000000	-0,673828
10022,125000	-0,673523
10022,250000	-0,652161
10022,375000	-0,651245
10022,500000	-0,656433
10022,625000	-0,675964
10022,750000	-0,651855
10022,875000	-0,657349
10023,000000	-0,659180
10023,125000	-0,647888
10023,250000	-0,696106
10023,375000	-0,675964
10023,500000	-0,675354
10023,625000	-0,667725
10023,750000	-0,662537
10023,875000	-0,680542
10024,000000	-0,681763
10024,125000	-0,680237
10024,250000	-0,681457
10024,375000	-0,680542
10024,500000	-0,648804
10024,625000	-0,647888
10024,750000	-0,654602
10024,875000	-0,663147
10025,000000	-0,680237
10025,125000	-0,709228
10025,250000	-0,708313
10025,375000	-0,662842
10025,500000	-0,693054
10025,625000	-0,660705
10025,750000	-0,682373
10025,875000	-0,672607
10026,000000	-0,691833
10026,125000	-0,675049
10026,250000	-0,661316
10026,375000	-0,661621
10026,500000	-0,679016
10026,625000	-0,673828
10026,750000	-0,706787
10026,875000	-0,706482
10027,000000	-0,671387
10027,125000	-0,691528
10027,250000	-0,721130
10027,375000	-0,674133
10027,500000	-0,675659
10027,625000	-0,676575
10027,750000	-0,688476
10027,875000	-0,686645
10028,000000	-0,659485
10028,125000	-0,658874
10028,250000	-0,657349
10028,375000	-0,657959
10028,500000	-0,672607
10028,625000	-0,671997
10028,750000	-0,679321
10028,875000	-0,665588
10029,000000	-0,648498
10029,125000	-0,695496
10029,250000	-0,694885
10029,375000	-0,665893
10029,500000	-0,655517
10029,625000	-0,726623
10029,750000	-0,725098
10029,875000	-0,679016
10030,000000	-0,669861
10030,125000	-0,693054
10030,250000	-0,676880
10030,375000	-0,676575
10030,500000	-0,650940
10030,625000	-0,643616
10030,750000	-0,701599
10030,875000	-0,698852
10031,000000	-0,672302
10031,125000	-0,652466
10031,250000	-0,690002
10031,375000	-0,653076
10031,500000	-0,653686
10031,625000	-0,652771
10031,750000	-0,681457
10031,875000	-0,686645
10032,000000	-0,659790
10032,125000	-0,665588
10032,250000	-0,657959
10032,375000	-0,666809
10032,500000	-0,693054
10032,625000	-0,692139
10032,750000	-0,672913
10032,875000	-0,666504
10033,000000	-0,647888
10033,125000	-0,702820
10033,250000	-0,701904
10033,375000	-0,639038
10033,500000	-0,661011
10033,625000	-0,621033
10033,750000	-0,620727
10033,875000	-0,657349
10034,000000	-0,662842
10034,125000	-0,664978
10034,250000	-0,650330
10034,375000	-0,650024
10034,500000	-0,700073
10034,625000	-0,644531
10034,750000	-0,645142
10034,875000	-0,657654
10035,000000	-0,657654
10035,125000	-0,665283
10035,250000	-0,648193
10035,375000	-0,696411
10035,500000	-0,695190
10035,625000	-0,705872
10035,750000	-0,677490
10035,875000	-0,666504
10036,000000	-0,671997
10036,125000	-0,671692
10036,250000	-0,633545
10036,375000	-0,686951
10036,500000	-0,675049
10036,625000	-0,675659
10036,750000	-0,690918
10036,875000	-0,661621
10037,000000	-0,725098
10037,125000	-0,701904
10037,250000	-0,700378
10037,375000	-0,709228
10037,500000	-0,648804
10037,625000	-0,650330
10037,750000	-0,649719
10037,875000	-0,649109
10038,000000	-0,676269
10038,125000	-0,670166
10038,250000	-0,652771
10038,375000	-0,652466
10038,500000	-0,645142
10038,625000	-0,667725
10038,750000	-0,650024
10038,875000	-0,646973
10039,000000	-0,645447
10039,125000	-0,672913
10039,250000	-0,660705
10039,375000	-0,669861
10039,500000	-0,667419
10039,625000	-0,677795
10039,750000	-0,684509
10039,875000	-0,641174
10040,000000	-0,716247
10040,125000	-0,715332
10040,250000	-0,691833
10040,375000	-0,677185
10040,500000	-0,654602
10040,625000	-0,653686
10040,750000	-0,655212
10040,875000	-0,661621
10041,000000	-0,695496
10041,125000	-0,681763
10041,250000	-0,681763
10041,375000	-0,651855
10041,500000	-0,630493
10041,625000	-0,652161
10041,750000	-0,653381
10041,875000	-0,657654
10042,000000	-0,687866
10042,125000	-0,695496
10042,250000	-0,685425
10042,375000	-0,682983
10042,500000	-0,649109
10042,625000	-0,656738
10042,750000	-0,638733
10042,875000	-0,667725
10043,000000	-0,670776
10043,125000	-0,653076
10043,250000	-0,686035
10043,375000	-0,662842
10043,500000	-0,662537
10043,625000	-0,677490
10043,750000	-0,676575
10043,875000	-0,672607
10044,000000	-0,669556
10044,125000	-0,670776
10044,250000	-0,657043
10044,375000	-0,663452
10044,500000	-0,655823
10044,625000	-0,655212
10044,750000	-0,651245
10044,875000	-0,691833
10045,000000	-0,664978
10045,125000	-0,653381
10045,250000	-0,652161
10045,375000	-0,679016
10045,500000	-0,701294
10045,625000	-0,682068
10045,750000	-0,621643
10045,875000	-0,625915
10046,000000	-0,641174
10046,125000	-0,647278
10046,250000	-0,688476
10046,375000	-0,688171
10046,500000	-0,681152
10046,625000	-0,649414
10046,750000	-0,643310
10046,875000	-0,639038
10047,000000	-0,646973
10047,125000	-0,666504
10047,250000	-0,678711
10047,375000	-0,657959
10047,500000	-0,656433
10047,625000	-0,668030
10047,750000	-0,670471
10047,875000	-0,683288
10048,000000	-0,650330
10048,125000	-0,654602
10048,250000	-0,634155
10048,375000	-0,660705
10048,500000	-0,660400
10048,625000	-0,661011
10048,750000	-0,676269
10048,875000	-0,631714
10049,000000	-0,650635
10049,125000	-0,675964
10049,250000	-0,674744
10049,375000	-0,650940
10049,500000	-0,668945
10049,625000	-0,659485
10049,750000	-0,657654
10049,875000	-0,657349
10050,000000	-0,673828
10050,125000	-0,673828
10050,250000	-0,677185
10050,375000	-0,675964
10050,500000	-0,650330
10050,625000	-0,694275
10050,750000	-0,677490
10050,875000	-0,684204
10051,000000	-0,683594
10051,125000	-0,657654
10051,250000	-0,705872
10051,375000	-0,644226
10051,500000	-0,643921
10051,625000	-0,673523
10051,750000	-0,716858
10051,875000	-0,661926
10052,000000	-0,645142
10052,125000	-0,647888
10052,250000	-0,648498
10052,375000	-0,658874
10052,500000	-0,671387
10052,625000	-0,669250
10052,750000	-0,662537
10052,875000	-0,665283
10053,000000	-0,668030
10053,125000	-0,622559
10053,250000	-0,622864
10053,375000	-0,672302
10053,500000	-0,668335
10053,625000	-0,680542
10053,750000	-0,678101
10053,875000	-0,681763
10054,000000	-0,658874
10054,125000	-0,677795
10054,250000	-0,682983
10054,375000	-0,681152
10054,500000	-0,646667
10054,625000	-0,692444
10054,750000	-0,692444
10054,875000	-0,687256
10055,000000	-0,698547
10055,125000	-0,650635
10055,250000	-0,668335
10055,375000	-0,667419
10055,500000	-0,665588
10055,625000	-0,677185
10055,750000	-0,678406
10055,875000	-0,675964
10056,000000	-0,697937
10056,125000	-0,698547
10056,250000	-0,682678
10056,375000	-0,657654
10056,500000	-0,680237
10056,625000	-0,679016
10056,750000	-0,665283
10056,875000	-0,676269
10057,000000	-0,661316
10057,125000	-0,710144
10057,250000	-0,708008
10057,375000	-0,679932
10057,500000	-0,662231
10057,625000	-0,670166
10057,750000	-0,653381
10057,875000	-0,657349
10058,000000	-0,672913
10058,125000	-0,661621
10058,250000	-0,694885
10058,375000	-0,692444
10058,500000	-0,658874
10058,625000	-0,656738
10058,750000	-0,667114
10058,875000	-0,657349
10059,000000	-0,655517
10059,125000	-0,677490
10059,250000	-0,655823
10059,375000	-0,682678
10059,500000	-0,682068
10059,625000	-0,675659
10059,750000	-0,648193
10059,875000	-0,647278
10060,000000	-0,675964
10060,125000	-0,676269
10060,250000	-0,658874
10060,375000	-0,685730
10060,500000	-0,664062
10060,625000	-0,662231
10060,750000	-0,644531
10060,875000	-0,651550
10061,000000	-0,667419
10061,125000	-0,674744
10061,250000	-0,674744
10061,375000	-0,674133
10061,500000	-0,681152
10061,625000	-0,643005
10061,750000	-0,691528
10061,875000	-0,695801
10062,000000	-0,694275
10062,125000	-0,636291
10062,250000	-0,660400
10062,375000	-0,659485
10062,500000	-0,652161
10062,625000	-0,667419
10062,750000	-0,671387
10062,875000	-0,682678
10063,000000	-0,679626
10063,125000	-0,637512
10063,250000	-0,660400
10063,375000	-0,668335
10063,500000	-0,667419
10063,625000	-0,651245
10063,750000	-0,691528
10063,875000	-0,671387
10064,000000	-0,670471
10064,125000	-0,671081
10064,250000	-0,673523
10064,375000	-0,647888
10064,500000	-0,637512
10064,625000	-0,636291
10064,750000	-0,694275
10064,875000	-0,652466
10065,000000	-0,675659
10065,125000	-0,690308
10065,250000	-0,687866
10065,375000	-0,655823
10065,500000	-0,697937
10065,625000	-0,661316
10065,750000	-0,669250
10065,875000	-0,671387
10066,000000	-0,693664
10066,125000	-0,650635
10066,250000	-0,609436
10066,375000	-0,609131
10066,500000	-0,664062
10066,625000	-0,689697
10066,750000	-0,672913
10066,875000	-0,666809
10067,000000	-0,667114
10067,125000	-0,670471
10067,250000	-0,663757
10067,375000	-0,661011
10067,500000	-0,663452
10067,625000	-0,680237
10067,750000	-0,681763
10067,875000	-0,696106
10068,000000	-0,655517
10068,125000	-0,653686
10068,250000	-0,635986
10068,375000	-0,706177
10068,500000	-0,634460
10068,625000	-0,635071
10068,750000	-0,654602
10068,875000	-0,644226
10069,000000	-0,667114
10069,125000	-0,655517
10069,250000	-0,655212
10069,375000	-0,668945
10069,500000	-0,664978
10069,625000	-0,685120
10069,750000	-0,667725
10069,875000	-0,669250
10070,000000	-0,660095
10070,125000	-0,676880
10070,250000	-0,634155
10070,375000	-0,633850
10070,500000	-0,663147
10070,625000	-0,702820
10070,750000	-0,675049
10070,875000	-0,671692
10071,000000	-0,671997
10071,125000	-0,639954
10071,250000	-0,693054
10071,375000	-0,679321
10071,500000	-0,680542
10071,625000	-0,695496
10071,750000	-0,665588
10071,875000	-0,655212
10072,000000	-0,698242
10072,125000	-0,699463
10072,250000	-0,691223
10072,375000	-0,679626
10072,500000	-0,646973
10072,625000	-0,648498
10072,750000	-0,663757
10072,875000	-0,661011
10073,000000	-0,637207
10073,125000	-0,661011
10073,250000	-0,660095
10073,375000	-0,657043
10073,500000	-0,641174
10073,625000	-0,710144
10073,750000	-0,710144
10073,875000	-0,650024
10074,000000	-0,670776
10074,125000	-0,668945
10074,250000	-0,655517
10074,375000	-0,654907
10074,500000	-0,672607
10074,625000	-0,664673
10074,750000	-0,662231
10074,875000	-0,661316
10075,000000	-0,664673
10075,125000	-0,643616
10075,250000	-0,638733
10075,375000	-0,655823
10075,500000	-0,655517
10075,625000	-0,660400
10075,750000	-0,668945
10075,875000	-0,643616
10076,000000	-0,680542
10076,125000	-0,680847
10076,250000	-0,649414
10076,375000	-0,664062
10076,500000	-0,705261
10076,625000	-0,704040
10076,750000	-0,642090
10076,875000	-0,649414
10077,000000	-0,670776
10077,125000	-0,688782
10077,250000	-0,688782
10077,375000	-0,677490
10077,500000	-0,671081
10077,625000	-0,657654
10077,750000	-0,653076
10077,875000	-0,655823
10078,000000	-0,667725
10078,125000	-0,664673
10078,250000	-0,651855
10078,375000	-0,651550
10078,500000	-0,672607
10078,625000	-0,678101
10078,750000	-0,676575
10078,875000	-0,678101
10079,000000	-0,681457
10079,125000	-0,688782
10079,250000	-0,667725
10079,375000	-0,647888
10079,500000	-0,647278
10079,625000	-0,697021
10079,750000	-0,671997
10079,875000	-0,652161
10080,000000	-0,668335
10080,125000	-0,667725
10080,250000	-0,667114
10080,375000	-0,642090
10080,500000	-0,649719
10080,625000	-0,650024
10080,750000	-0,705261
10080,875000	-0,650330
10081,000000	-0,667419
10081,125000	-0,702515
10081,250000	-0,702820
10081,375000	-0,680847
10081,500000	-0,681152
10081,625000	-0,663147
10081,750000	-0,661316
10081,875000	-0,666199
10082,000000	-0,685120
10082,125000	-0,681763
10082,250000	-0,663757
10082,375000	-0,659790
10082,500000	-0,667725
10082,625000	-0,634460
10082,750000	-0,680542
10082,875000	-0,704651
10083,000000	-0,708313
10083,125000	-0,639343
10083,250000	-0,712585
10083,375000	-0,657349
10083,500000	-0,655823
10083,625000	-0,648498
10083,750000	-0,682068
10083,875000	-0,647278
10084,000000	-0,653686
10084,125000	-0,652466
10084,250000	-0,679321
10084,375000	-0,637817
10084,500000	-0,662842
10084,625000	-0,661926
10084,750000	-0,663452
10084,875000	-0,658874
10085,000000	-0,652161
10085,125000	-0,656738
10085,250000	-0,657043
10085,375000	-0,663147
10085,500000	-0,652771
10085,625000	-0,674133
10085,750000	-0,688476
10085,875000	-0,672302
10086,000000	-0,668945
10086,125000	-0,652161
10086,250000	-0,674438
10086,375000	-0,670776
10086,500000	-0,672302
10086,625000	-0,635376
10086,750000	-0,652161
10086,875000	-0,639648
10087,000000	-0,639648
10087,125000	-0,661926
10087,250000	-0,646667
10087,375000	-0,668030
10087,500000	-0,662537
10087,625000	-0,647583
10087,750000	-0,645142
10087,875000	-0,690918
10088,000000	-0,640564
10088,125000	-0,638428
10088,250000	-0,659485
10088,375000	-0,625610
10088,500000	-0,671387
10088,625000	-0,643005
10088,750000	-0,648193
10088,875000	-0,694275
10089,000000	-0,691833
10089,125000	-0,661011
10089,250000	-0,659790
10089,375000	-0,675964
10089,500000	-0,650940
10089,625000	-0,626526
10089,750000	-0,664978
10089,875000	-0,664062
10090,000000	-0,657654
10090,125000	-0,637817
10090,250000	-0,667725
10090,375000	-0,669250
10090,500000	-0,686340
10090,625000	-0,661316
10090,750000	-0,661926
10090,875000	-0,658569
10091,000000	-0,658569
10091,125000	-0,656738
10091,250000	-0,651550
10091,375000	-0,664368
10091,500000	-0,663452
10091,625000	-0,650635
10091,750000	-0,654907
10091,875000	-0,658569
10092,000000	-0,669556
10092,125000	-0,668640
10092,250000	-0,648193
10092,375000	-0,676575
10092,500000	-0,668030
10092,625000	-0,665283
10092,750000	-0,676575
10092,875000	-0,694275
10093,000000	-0,644531
10093,125000	-0,685730
10093,250000	-0,685730
10093,375000	-0,633545
10093,500000	-0,650024
10093,625000	-0,644531
10093,750000	-0,686035
10093,875000	-0,692444
10094,000000	-0,680237
10094,125000	-0,623779
10094,250000	-0,671387
10094,375000	-0,671081
10094,500000	-0,654907
10094,625000	-0,671081
10094,750000	-0,665283
10094,875000	-0,620422
10095,000000	-0,620727
10095,125000	-0,673828
10095,250000	-0,671081
10095,375000	-0,654297
10095,500000	-0,652466
10095,625000	-0,650024
10095,750000	-0,631103
10095,875000	-0,638428
10096,000000	-0,692444
10096,125000	-0,693054
10096,250000	-0,679016
10096,375000	-0,671997
10096,500000	-0,643616
10096,625000	-0,639954
10096,750000	-0,686951
10096,875000	-0,675354
10097,000000	-0,661926
10097,125000	-0,635681
10097,250000	-0,634460
10097,375000	-0,660095
10097,500000	-0,650024
10097,625000	-0,653992
10097,750000	-0,678406
10097,875000	-0,679321
10098,000000	-0,643005
10098,125000	-0,649109
10098,250000	-0,671081
10098,375000	-0,671692
10098,500000	-0,651855
10098,625000	-0,641479
10098,750000	-0,614624
10098,875000	-0,650330
10099,000000	-0,650635
10099,125000	-0,687866
10099,250000	-0,636597
10099,375000	-0,618286
10099,500000	-0,616455
10099,625000	-0,640259
10099,750000	-0,634766
10099,875000	-0,652466
10100,000000	-0,614014
10100,125000	-0,614624
10100,250000	-0,672913
10100,375000	-0,674133
10100,500000	-0,626831
10100,625000	-0,624084
10100,750000	-0,649109
10100,875000	-0,664368
