Zeitstempel: 18.9.2013 16:21:56
Signalquelle: Sample/Hold Verstärker
Abtastrate: 1000,00 Hz
Modus: TIME


Bemerkung: Aufnahmedauer 25s
Pumpgeschwindigkeit 12V
Temperatur 12.5 C

Zeit in s	Analysatorsignal in V
0,000000	-0,055542
0,001000	-0,050964
0,002000	-0,051575
0,003000	-0,052185
0,004000	-0,051575
0,005000	-0,050964
0,006000	-0,049133
0,007000	-0,051575
0,008000	-0,049744
0,009000	-0,051880
0,010000	-0,050354
0,011000	-0,049744
0,012000	-0,050049
0,013000	-0,051269
0,014000	-0,049744
0,015000	-0,050354
0,016000	-0,052490
0,017000	-0,050659
0,018000	-0,071716
0,019000	-0,054321
0,020000	-0,056152
0,021000	-0,055237
0,022000	-0,055237
0,023000	-0,053406
0,024000	-0,054321
0,025000	-0,053711
0,026000	-0,055542
0,027000	-0,054932
0,028000	-0,054932
0,029000	-0,054932
0,030000	-0,054321
0,031000	-0,053711
0,032000	-0,054321
0,033000	-0,054626
0,034000	-0,057983
0,035000	-0,057983
0,036000	-0,056152
0,037000	-0,056457
0,038000	-0,098267
0,039000	-0,079346
0,040000	-0,079346
0,041000	-0,081787
0,042000	-0,076904
0,043000	-0,078735
0,044000	-0,077820
0,045000	-0,078430
0,046000	-0,077820
0,047000	-0,081482
0,048000	-0,080261
0,049000	-0,079346
0,050000	-0,076599
0,051000	-0,078735
0,052000	-0,078430
0,053000	-0,080261
0,054000	-0,076904
0,055000	-0,076294
0,056000	-0,077820
0,057000	-0,077820
0,058000	-0,065308
0,059000	-0,052795
0,060000	-0,053711
0,061000	-0,052490
0,062000	-0,053406
0,063000	-0,051880
0,064000	-0,053100
0,065000	-0,052795
0,066000	-0,053100
0,067000	-0,053711
0,068000	-0,054321
0,069000	-0,053711
0,070000	-0,051880
0,071000	-0,055542
0,072000	-0,053100
0,073000	-0,054932
0,074000	-0,051880
0,075000	-0,052490
0,076000	-0,053711
0,077000	-0,052185
0,078000	-0,083313
0,079000	-0,065308
0,080000	-0,066833
0,081000	-0,064697
0,082000	-0,064392
0,083000	-0,065002
0,084000	-0,065002
0,085000	-0,063476
0,086000	-0,062866
0,087000	-0,065002
0,088000	-0,065002
0,089000	-0,065308
0,090000	-0,064087
0,091000	-0,063171
0,092000	-0,063476
0,093000	-0,065308
0,094000	-0,063782
0,095000	-0,064392
0,096000	-0,065613
0,097000	-0,063476
0,098000	-0,090942
0,099000	-0,075684
0,100000	-0,076904
0,101000	-0,078735
0,102000	-0,076294
0,103000	-0,076599
0,104000	-0,077820
0,105000	-0,077515
0,106000	-0,074158
0,107000	-0,075989
0,108000	-0,074463
0,109000	-0,074768
0,110000	-0,073242
0,111000	-0,074463
0,112000	-0,075073
0,113000	-0,076599
0,114000	-0,075073
0,115000	-0,075378
0,116000	-0,075684
0,117000	-0,075073
0,118000	-0,077820
0,119000	-0,061645
0,120000	-0,061645
0,121000	-0,061645
0,122000	-0,061340
0,123000	-0,062256
0,124000	-0,061645
0,125000	-0,060730
0,126000	-0,060425
0,127000	-0,062866
0,128000	-0,061340
0,129000	-0,061645
0,130000	-0,060730
0,131000	-0,060120
0,132000	-0,060730
0,133000	-0,063171
0,134000	-0,061035
0,135000	-0,062256
0,136000	-0,062561
0,137000	-0,061340
0,138000	-0,061951
0,139000	-0,043335
0,140000	-0,045166
0,141000	-0,043945
0,142000	-0,043640
0,143000	-0,044861
0,144000	-0,044250
0,145000	-0,044250
0,146000	-0,045166
0,147000	-0,043640
0,148000	-0,044250
0,149000	-0,045776
0,150000	-0,045166
0,151000	-0,044556
0,152000	-0,043945
0,153000	-0,043640
0,154000	-0,042419
0,155000	-0,043640
0,156000	-0,043945
0,157000	-0,044250
0,158000	-0,072327
0,159000	-0,059204
0,160000	-0,061645
0,161000	-0,061035
0,162000	-0,060730
0,163000	-0,062256
0,164000	-0,061645
0,165000	-0,060120
0,166000	-0,061645
0,167000	-0,061645
0,168000	-0,062561
0,169000	-0,062561
0,170000	-0,061035
0,171000	-0,060120
0,172000	-0,061340
0,173000	-0,060425
0,174000	-0,060425
0,175000	-0,061035
0,176000	-0,060425
0,177000	-0,060730
0,178000	-0,058594
0,179000	-0,051880
0,180000	-0,050964
0,181000	-0,050964
0,182000	-0,052795
0,183000	-0,050354
0,184000	-0,051575
