Zeitstempel: 18.9.2013 12:19:35
Signalquelle: Sample/Hold Verstärker
Abtastrate: 1000,00 Hz
Modus: TIME


Bemerkung: Polarisatorstrom 1.5A
Hallsonde 5.65mV bei 2.5A
 mit 8.6mV = 1T

Zeit in s	Analysatorsignal in V
0,000000	-0,422058
0,001000	-0,418701
0,002000	-0,417786
0,003000	-0,418701
0,004000	-0,419006
0,005000	-0,415344
0,006000	-0,420227
0,007000	-0,419922
0,008000	-0,420837
0,009000	-0,419922
0,010000	-0,420837
0,011000	-0,419922
0,012000	-0,420837
0,013000	-0,419617
0,014000	-0,419922
0,015000	-0,416260
0,016000	-0,420532
0,017000	-0,419311
0,018000	-0,419617
0,019000	-0,420227
0,020000	-0,420227
0,021000	-0,420532
0,022000	-0,420532
0,023000	-0,419617
0,024000	-0,419006
0,025000	-0,415649
0,026000	-0,396423
0,027000	-0,399170
0,028000	-0,398865
0,029000	-0,395203
0,030000	-0,397644
0,031000	-0,398254
0,032000	-0,397339
0,033000	-0,395203
0,034000	-0,398254
0,035000	-0,393982
0,036000	-0,394287
0,037000	-0,397949
0,038000	-0,397339
0,039000	-0,397339
0,040000	-0,399475
0,041000	-0,396423
0,042000	-0,397034
0,043000	-0,396423
0,044000	-0,397949
0,045000	-0,394592
0,046000	-0,426330
0,047000	-0,428162
0,048000	-0,426941
0,049000	-0,426330
0,050000	-0,426636
0,051000	-0,426330
0,052000	-0,426636
0,053000	-0,425110
0,054000	-0,425720
0,055000	-0,421753
0,056000	-0,423279
0,057000	-0,425415
0,058000	-0,425720
0,059000	-0,426025
0,060000	-0,425415
0,061000	-0,425110
0,062000	-0,424194
0,063000	-0,426636
0,064000	-0,423584
0,065000	-0,422974
0,066000	-0,389404
0,067000	-0,390625
0,068000	-0,392151
0,069000	-0,390930
0,070000	-0,392151
0,071000	-0,389099
0,072000	-0,390930
0,073000	-0,390015
0,074000	-0,389709
0,075000	-0,384827
0,076000	-0,386658
0,077000	-0,390320
0,078000	-0,388489
0,079000	-0,388794
0,080000	-0,388794
0,081000	-0,389099
0,082000	-0,389099
0,083000	-0,390625
0,084000	-0,388489
0,085000	-0,385132
0,086000	-0,426941
