Zeitstempel: 18.9.2013 13:04:15
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 100s
FM
Amplitude 10mV
Richtung min<-max
min Frequenz 1300Hz
max Frequenz 1700Hz

Frequenz in Hz	S/H-Signal in V
1699,937500	-0,648193
1699,875000	-0,631409
1699,812500	-0,657959
1699,750000	-0,667725
1699,687500	-0,664978
1699,625000	-0,690613
1699,562500	-0,636902
1699,500000	-0,678101
1699,437500	-0,672607
1699,375000	-0,672302
1699,312500	-0,622253
1699,250000	-0,616455
1699,187500	-0,636597
1699,125000	-0,683899
1699,062500	-0,683288
1699,000000	-0,614929
1698,937500	-0,675964
1698,875000	-0,642090
1698,812500	-0,642700
1698,750000	-0,644531
1698,687500	-0,644226
1698,625000	-0,643921
1698,562500	-0,632324
1698,500000	-0,634155
1698,437500	-0,610657
1698,375000	-0,628052
1698,312500	-0,664673
1698,250000	-0,661011
1698,187500	-0,640259
1698,125000	-0,659790
1698,062500	-0,657349
1698,000000	-0,657959
1697,937500	-0,657349
1697,875000	-0,684509
1697,812500	-0,661011
1697,750000	-0,671081
1697,687500	-0,669556
1697,625000	-0,633545
1697,562500	-0,651855
1697,500000	-0,661011
1697,437500	-0,661316
1697,375000	-0,662842
1697,312500	-0,645447
1697,250000	-0,668640
1697,187500	-0,638428
1697,125000	-0,634460
1697,062500	-0,632019
1697,000000	-0,633545
1696,937500	-0,599976
1696,875000	-0,637817
1696,812500	-0,637512
1696,750000	-0,650635
1696,687500	-0,626831
1696,625000	-0,660095
1696,562500	-0,615845
1696,500000	-0,617676
1696,437500	-0,633850
1696,375000	-0,625915
1696,312500	-0,609436
1696,250000	-0,607300
1696,187500	-0,653381
1696,125000	-0,624695
1696,062500	-0,669861
1696,000000	-0,646973
1695,937500	-0,643310
1695,875000	-0,671997
1695,812500	-0,645447
1695,750000	-0,654907
1695,687500	-0,653381
1695,625000	-0,651550
1695,562500	-0,658874
1695,500000	-0,631409
1695,437500	-0,664368
1695,375000	-0,664673
1695,312500	-0,612183
1695,250000	-0,630798
1695,187500	-0,648193
1695,125000	-0,646057
1695,062500	-0,633850
1695,000000	-0,655212
1694,937500	-0,601501
1694,875000	-0,639038
1694,812500	-0,636291
1694,750000	-0,668640
1694,687500	-0,666809
1694,625000	-0,651855
1694,562500	-0,655517
1694,500000	-0,665283
1694,437500	-0,672302
1694,375000	-0,664368
1694,312500	-0,667725
1694,250000	-0,665283
1694,187500	-0,661011
1694,125000	-0,632934
1694,062500	-0,625915
1694,000000	-0,644226
1693,937500	-0,639343
1693,875000	-0,632629
1693,812500	-0,643921
1693,750000	-0,635376
1693,687500	-0,634460
1693,625000	-0,652466
1693,562500	-0,681152
1693,500000	-0,654907
1693,437500	-0,647888
1693,375000	-0,646667
1693,312500	-0,669556
1693,250000	-0,631103
1693,187500	-0,640564
1693,125000	-0,639038
1693,062500	-0,638733
1693,000000	-0,650330
1692,937500	-0,658569
1692,875000	-0,646057
1692,812500	-0,643616
1692,750000	-0,636291
1692,687500	-0,667114
1692,625000	-0,635681
1692,562500	-0,645752
1692,500000	-0,642395
1692,437500	-0,629883
1692,375000	-0,633545
1692,312500	-0,654602
1692,250000	-0,654297
1692,187500	-0,661316
1692,125000	-0,646362
1692,062500	-0,614624
1692,000000	-0,647583
1691,937500	-0,648193
1691,875000	-0,641479
1691,812500	-0,635071
1691,750000	-0,678711
1691,687500	-0,677795
1691,625000	-0,676880
