Zeitstempel: 18.9.2013 13:26:44
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 100s
FM
Amplitude 50mV
Richtung min->max
min Frequenz 1300Hz
max Frequenz 1700Hz

Frequenz in Hz	S/H-Signal in V
1300,062500	-0,670471
1300,125000	-0,692139
1300,187500	-0,650330
1300,250000	-0,645447
1300,312500	-0,643921
1300,375000	-0,613403
1300,437500	-0,630493
1300,500000	-0,648193
1300,562500	-0,672302
1300,625000	-0,676269
1300,687500	-0,645752
1300,750000	-0,651855
1300,812500	-0,597839
1300,875000	-0,595093
1300,937500	-0,607605
1301,000000	-0,652771
1301,062500	-0,660400
1301,125000	-0,657349
1301,187500	-0,655212
1301,250000	-0,646667
1301,312500	-0,629578
1301,375000	-0,642090
1301,437500	-0,641174
1301,500000	-0,643921
1301,562500	-0,668030
1301,625000	-0,642700
1301,687500	-0,637817
1301,750000	-0,634460
1301,812500	-0,643616
1301,875000	-0,633850
1301,937500	-0,651245
1302,000000	-0,627746
1302,062500	-0,627746
1302,125000	-0,643005
1302,187500	-0,642090
1302,250000	-0,650635
1302,312500	-0,648804
1302,375000	-0,636902
1302,437500	-0,642090
1302,500000	-0,663452
1302,562500	-0,653686
1302,625000	-0,653992
1302,687500	-0,621033
1302,750000	-0,646973
1302,812500	-0,633240
1302,875000	-0,630493
1302,937500	-0,663757
1303,000000	-0,657959
1303,062500	-0,658264
1303,125000	-0,641174
1303,187500	-0,638122
1303,250000	-0,623474
1303,312500	-0,657654
1303,375000	-0,650024
1303,437500	-0,647583
1303,500000	-0,625610
1303,562500	-0,622253
1303,625000	-0,677185
1303,687500	-0,652466
1303,750000	-0,651550
1303,812500	-0,642700
1303,875000	-0,658569
1303,937500	-0,649414
1304,000000	-0,580444
1304,062500	-0,647888
1304,125000	-0,599060
1304,187500	-0,628662
1304,250000	-0,632934
1304,312500	-0,634155
1304,375000	-0,690613
1304,437500	-0,649719
1304,500000	-0,642090
1304,562500	-0,605469
1304,625000	-0,606689
1304,687500	-0,648498
1304,750000	-0,607605
1304,812500	-0,671081
1304,875000	-0,669250
1304,937500	-0,679016
1305,000000	-0,664978
1305,062500	-0,637207
1305,125000	-0,652466
1305,187500	-0,652161
1305,250000	-0,663147
1305,312500	-0,653992
1305,375000	-0,647278
1305,437500	-0,643921
1305,500000	-0,589600
1305,562500	-0,649109
1305,625000	-0,623779
1305,687500	-0,675049
1305,750000	-0,673523
1305,812500	-0,643921
1305,875000	-0,633240
1305,937500	-0,632934
1306,000000	-0,684509
1306,062500	-0,685730
1306,125000	-0,660095
1306,187500	-0,645142
1306,250000	-0,643616
1306,312500	-0,645447
1306,375000	-0,641785
1306,437500	-0,671081
1306,500000	-0,653381
1306,562500	-0,660400
1306,625000	-0,659180
1306,687500	-0,632019
1306,750000	-0,660705
1306,812500	-0,624695
1306,875000	-0,623474
1306,937500	-0,628967
1307,000000	-0,623169
1307,062500	-0,630188
1307,125000	-0,638122
1307,187500	-0,637817
1307,250000	-0,631409
1307,312500	-0,651245
1307,375000	-0,624390
1307,437500	-0,622253
1307,500000	-0,643310
1307,562500	-0,641479
1307,625000	-0,653686
1307,687500	-0,651550
1307,750000	-0,648804
1307,812500	-0,628357
1307,875000	-0,663757
1307,937500	-0,631714
1308,000000	-0,636902
1308,062500	-0,644226
1308,125000	-0,672302
1308,187500	-0,627746
1308,250000	-0,598450
1308,312500	-0,596924
1308,375000	-0,640259
1308,437500	-0,636902
1308,500000	-0,632934
1308,562500	-0,642395
1308,625000	-0,643005
1308,687500	-0,642395
1308,750000	-0,667725
1308,812500	-0,632629
1308,875000	-0,615234
1308,937500	-0,672302
1309,000000	-0,655823
1309,062500	-0,643310
1309,125000	-0,611267
1309,187500	-0,611572
1309,250000	-0,646667
1309,312500	-0,643921
1309,375000	-0,634766
1309,437500	-0,643616
1309,500000	-0,644226
1309,562500	-0,641174
1309,625000	-0,643310
1309,687500	-0,639343
1309,750000	-0,639038
1309,812500	-0,640259
1309,875000	-0,657349
1309,937500	-0,663147
1310,000000	-0,639343
1310,062500	-0,638733
1310,125000	-0,657349
1310,187500	-0,629578
1310,250000	-0,628357
1310,312500	-0,626221
1310,375000	-0,635376
1310,437500	-0,647278
1310,500000	-0,619202
1310,562500	-0,639954
1310,625000	-0,635681
1310,687500	-0,631103
1310,750000	-0,635376
1310,812500	-0,646057
1310,875000	-0,654297
1310,937500	-0,629883
1311,000000	-0,629883
1311,062500	-0,636291
1311,125000	-0,640259
1311,187500	-0,639038
1311,250000	-0,652161
1311,312500	-0,637207
1311,375000	-0,639954
1311,437500	-0,636902
1311,500000	-0,637207
1311,562500	-0,657349
1311,625000	-0,616760
1311,687500	-0,647583
1311,750000	-0,646362
1311,812500	-0,621033
1311,875000	-0,657349
1311,937500	-0,596619
1312,000000	-0,599060
1312,062500	-0,599976
1312,125000	-0,628662
1312,187500	-0,633545
1312,250000	-0,616760
1312,312500	-0,612793
1312,375000	-0,649109
1312,437500	-0,633850
1312,500000	-0,620727
1312,562500	-0,626221
1312,625000	-0,625915
1312,687500	-0,627136
1312,750000	-0,656738
1312,812500	-0,640869
1312,875000	-0,646973
1312,937500	-0,650024
1313,000000	-0,634155
1313,062500	-0,626221
1313,125000	-0,682983
1313,187500	-0,682983
1313,250000	-0,612793
1313,312500	-0,605774
1313,375000	-0,655517
1313,437500	-0,656433
1313,500000	-0,654297
1313,562500	-0,621948
1313,625000	-0,662537
1313,687500	-0,621033
1313,750000	-0,620727
1313,812500	-0,625000
1313,875000	-0,616455
1313,937500	-0,652466
1314,000000	-0,616455
1314,062500	-0,617981
1314,125000	-0,640564
1314,187500	-0,654602
1314,250000	-0,661011
1314,312500	-0,660705
1314,375000	-0,649719
1314,437500	-0,653992
1314,500000	-0,612793
1314,562500	-0,653076
1314,625000	-0,650635
1314,687500	-0,628662
1314,750000	-0,671997
1314,812500	-0,653381
1314,875000	-0,652771
1314,937500	-0,630188
1315,000000	-0,656738
1315,062500	-0,598755
1315,125000	-0,632934
1315,187500	-0,635071
1315,250000	-0,638733
1315,312500	-0,632324
1315,375000	-0,648193
1315,437500	-0,657654
1315,500000	-0,642700
1315,562500	-0,698852
1315,625000	-0,609131
1315,687500	-0,645752
1315,750000	-0,646667
1315,812500	-0,664978
1315,875000	-0,665283
1315,937500	-0,672302
1316,000000	-0,638428
1316,062500	-0,639648
1316,125000	-0,651855
1316,187500	-0,651550
1316,250000	-0,623779
1316,312500	-0,625610
1316,375000	-0,637512
1316,437500	-0,656128
1316,500000	-0,654297
1316,562500	-0,640564
1316,625000	-0,639954
1316,687500	-0,617371
1316,750000	-0,629578
1316,812500	-0,638428
1316,875000	-0,635071
1316,937500	-0,649719
1317,000000	-0,644226
1317,062500	-0,647278
1317,125000	-0,635071
1317,187500	-0,633850
1317,250000	-0,648498
1317,312500	-0,654602
1317,375000	-0,664368
1317,437500	-0,654297
1317,500000	-0,651550
1317,562500	-0,663452
1317,625000	-0,653992
1317,687500	-0,651245
1317,750000	-0,650635
1317,812500	-0,640564
1317,875000	-0,643921
1317,937500	-0,627746
1318,000000	-0,656738
1318,062500	-0,657654
1318,125000	-0,617065
1318,187500	-0,630188
1318,250000	-0,630188
1318,312500	-0,635986
1318,375000	-0,653992
1318,437500	-0,657349
1318,500000	-0,654297
1318,562500	-0,630798
1318,625000	-0,628357
1318,687500	-0,649719
1318,750000	-0,640259
1318,812500	-0,650940
1318,875000	-0,637817
1318,937500	-0,639038
1319,000000	-0,629578
1319,062500	-0,626221
1319,125000	-0,645752
1319,187500	-0,647583
1319,250000	-0,637207
1319,312500	-0,616150
1319,375000	-0,612488
1319,437500	-0,667419
1319,500000	-0,666809
1319,562500	-0,628662
1319,625000	-0,645142
1319,687500	-0,611267
1319,750000	-0,610351
1319,812500	-0,637207
1319,875000	-0,658569
1319,937500	-0,634766
1320,000000	-0,635986
1320,062500	-0,633545
1320,125000	-0,652771
1320,187500	-0,639954
1320,250000	-0,632629
1320,312500	-0,633240
1320,375000	-0,619202
1320,437500	-0,654602
1320,500000	-0,613098
1320,562500	-0,635376
1320,625000	-0,635071
1320,687500	-0,592346
1320,750000	-0,644226
1320,812500	-0,648193
1320,875000	-0,670471
1320,937500	-0,670471
1321,000000	-0,626221
1321,062500	-0,668945
1321,125000	-0,660705
1321,187500	-0,660705
1321,250000	-0,642395
1321,312500	-0,621338
1321,375000	-0,632019
1321,437500	-0,633850
1321,500000	-0,634766
1321,562500	-0,633545
1321,625000	-0,679016
1321,687500	-0,621643
1321,750000	-0,619812
1321,812500	-0,624390
1321,875000	-0,643310
1321,937500	-0,603638
1322,000000	-0,632019
1322,062500	-0,631714
1322,125000	-0,632019
1322,187500	-0,622253
1322,250000	-0,666199
1322,312500	-0,647583
1322,375000	-0,650940
1322,437500	-0,648193
1322,500000	-0,653381
1322,562500	-0,625000
1322,625000	-0,624390
1322,687500	-0,671997
1322,750000	-0,631409
1322,812500	-0,643005
1322,875000	-0,638428
1322,937500	-0,636902
1323,000000	-0,618286
1323,062500	-0,632629
1323,125000	-0,658874
1323,187500	-0,660400
1323,250000	-0,625915
1323,312500	-0,646362
1323,375000	-0,629578
1323,437500	-0,615845
1323,500000	-0,617676
1323,562500	-0,637512
1323,625000	-0,651855
1323,687500	-0,640259
1323,750000	-0,639343
1323,812500	-0,628052
1323,875000	-0,636291
1323,937500	-0,646362
1324,000000	-0,625305
1324,062500	-0,623474
1324,125000	-0,639343
1324,187500	-0,630188
1324,250000	-0,646057
1324,312500	-0,641785
1324,375000	-0,673523
1324,437500	-0,645447
1324,500000	-0,639648
1324,562500	-0,614319
1324,625000	-0,614624
1324,687500	-0,646057
1324,750000	-0,633545
1324,812500	-0,625915
1324,875000	-0,660400
1324,937500	-0,665283
1325,000000	-0,638122
1325,062500	-0,623169
1325,125000	-0,617676
1325,187500	-0,617065
1325,250000	-0,659790
1325,312500	-0,646362
1325,375000	-0,658569
1325,437500	-0,653381
1325,500000	-0,650940
1325,562500	-0,647278
1325,625000	-0,659485
1325,687500	-0,623169
1325,750000	-0,623779
1325,812500	-0,644531
1325,875000	-0,670471
1325,937500	-0,644531
1326,000000	-0,636291
1326,062500	-0,635071
1326,125000	-0,638122
1326,187500	-0,626526
1326,250000	-0,639038
1326,312500	-0,611267
1326,375000	-0,614319
1326,437500	-0,637512
1326,500000	-0,639343
1326,562500	-0,641785
1326,625000	-0,640259
1326,687500	-0,627441
1326,750000	-0,647583
1326,812500	-0,644836
1326,875000	-0,680847
1326,937500	-0,679016
1327,000000	-0,653992
1327,062500	-0,610657
1327,125000	-0,632629
1327,187500	-0,630798
1327,250000	-0,677185
1327,312500	-0,650635
1327,375000	-0,622864
1327,437500	-0,630493
1327,500000	-0,629883
1327,562500	-0,633850
1327,625000	-0,622864
1327,687500	-0,647583
1327,750000	-0,561523
1327,812500	-0,621338
1327,875000	-0,676575
1327,937500	-0,663147
