Zeitstempel: 18.9.2013 14:17:56
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1510Hz
Richtung min->max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0,010000	-0,457153
0,010061	-0,446777
0,010122	-0,446777
0,010183	-0,418091
0,010244	-0,426025
0,010305	-0,487976
0,010366	-0,485840
0,010427	-0,458069
0,010488	-0,444641
0,010548	-0,411377
0,010609	-0,437012
0,010670	-0,460510
0,010731	-0,419617
0,010792	-0,457764
0,010853	-0,434875
0,010914	-0,432434
0,010975	-0,448913
0,011036	-0,430603
0,011097	-0,456543
0,011158	-0,418396
0,011219	-0,420227
0,011280	-0,419922
0,011341	-0,483704
0,011402	-0,420837
0,011463	-0,419617
0,011523	-0,419617
0,011584	-0,427246
0,011645	-0,431824
0,011706	-0,468750
0,011767	-0,465698
0,011828	-0,458984
0,011889	-0,398254
0,011950	-0,419006
0,012011	-0,418701
0,012072	-0,418701
0,012133	-0,398559
0,012194	-0,412598
0,012255	-0,452881
0,012316	-0,453796
0,012377	-0,459289
0,012437	-0,447998
0,012498	-0,457458
0,012559	-0,452270
0,012620	-0,459289
0,012681	-0,424194
0,012742	-0,451355
0,012803	-0,467834
0,012864	-0,468140
0,012925	-0,461121
0,012986	-0,433960
0,013047	-0,427856
0,013108	-0,456238
0,013169	-0,462341
0,013230	-0,430298
0,013291	-0,426025
0,013352	-0,477600
0,013412	-0,477295
0,013473	-0,455933
0,013534	-0,447082
0,013595	-0,428467
0,013656	-0,438843
0,013717	-0,439453
0,013778	-0,454712
0,013839	-0,452270
0,013900	-0,430298
0,013961	-0,426941
0,014022	-0,430908
0,014083	-0,431518
0,014144	-0,447998
0,014205	-0,457458
0,014266	-0,457458
0,014327	-0,420227
0,014388	-0,473633
0,014448	-0,472107
0,014509	-0,446472
0,014570	-0,447082
0,014631	-0,475464
0,014692	-0,423584
0,014753	-0,432129
0,014814	-0,431824
0,014875	-0,438843
0,014936	-0,456238
0,014997	-0,440979
0,015058	-0,460510
0,015119	-0,460510
0,015180	-0,452270
0,015241	-0,438538
0,015302	-0,451965
0,015363	-0,450134
0,015423	-0,466919
0,015484	-0,439453
0,015545	-0,485535
0,015606	-0,494995
0,015667	-0,493774
0,015728	-0,510864
0,015789	-0,514221
0,015850	-0,555725
0,015911	-0,555725
0,015972	-0,563354
0,016033	-0,572205
0,016094	-0,583496
0,016155	-0,599976
0,016216	-0,599060
0,016277	-0,627136
0,016337	-0,627441
0,016398	-0,613403
0,016459	-0,612488
0,016520	-0,617371
0,016581	-0,646973
0,016642	-0,586853
0,016703	-0,584717
0,016764	-0,585632
0,016825	-0,575561
0,016886	-0,602112
0,016947	-0,539551
0,017008	-0,484619
0,017069	-0,490112
0,017130	-0,540161
0,017191	-0,495911
0,017252	-0,519409
0,017312	-0,516968
0,017373	-0,488281
0,017434	-0,482483
0,017495	-0,494080
0,017556	-0,492248
0,017617	-0,489807
0,017678	-0,469360
0,017739	-0,466614
0,017800	-0,468445
0,017861	-0,463867
0,017922	-0,476379
0,017983	-0,484924
0,018044	-0,500793
0,018105	-0,477905
0,018166	-0,478210
0,018227	-0,465698
0,018288	-0,442810
0,018348	-0,462952
0,018409	-0,452576
0,018470	-0,457153
0,018531	-0,444031
0,018592	-0,441894
0,018653	-0,480652
0,018714	-0,478516
0,018775	-0,478516
0,018836	-0,419006
0,018897	-0,442810
0,018958	-0,439148
0,019019	-0,458984
0,019080	-0,415955
0,019141	-0,404358
0,019202	-0,455017
0,019263	-0,454101
0,019323	-0,414429
0,019384	-0,419922
0,019445	-0,441589
0,019506	-0,380859
0,019567	-0,382996
0,019628	-0,390015
0,019689	-0,449524
0,019750	-0,411377
0,019811	-0,408935
0,019872	-0,401001
0,019933	-0,416870
0,019994	-0,387268
0,020055	-0,429993
0,020116	-0,429687
0,020177	-0,430908
0,020237	-0,431824
0,020298	-0,404968
0,020359	-0,402222
0,020420	-0,426025
0,020481	-0,402832
0,020542	-0,385437
0,020603	-0,391235
0,020664	-0,389709
0,020725	-0,427856
0,020786	-0,405273
0,020847	-0,364075
0,020908	-0,354309
0,020969	-0,355835
0,021030	-0,400696
0,021091	-0,407104
0,021152	-0,414734
0,021212	-0,411377
0,021273	-0,382996
0,021334	-0,366821
0,021395	-0,413818
0,021456	-0,361328
0,021517	-0,362244
0,021578	-0,397339
0,021639	-0,372009
0,021700	-0,308227
0,021761	-0,304260
0,021822	-0,329590
0,021883	-0,351257
0,021944	-0,366211
0,022005	-0,386047
0,022066	-0,384827
0,022127	-0,408325
0,022187	-0,335388
0,022248	-0,349731
0,022309	-0,413818
0,022370	-0,390930
0,022431	-0,352173
0,022492	-0,383301
0,022553	-0,357666
0,022614	-0,356445
0,022675	-0,342407
0,022736	-0,336304
0,022797	-0,332031
0,022858	-0,357971
0,022919	-0,358887
0,022980	-0,345459
0,023041	-0,363769
0,023102	-0,343323
0,023163	-0,342712
0,023223	-0,329895
0,023284	-0,368042
0,023345	-0,361633
0,023406	-0,349426
0,023467	-0,349121
0,023528	-0,352478
0,023589	-0,339355
0,023650	-0,374145
0,023711	-0,371399
0,023772	-0,307007
0,023833	-0,305176
0,023894	-0,319519
0,023955	-0,338745
0,024016	-0,338135
0,024077	-0,314026
0,024138	-0,306702
0,024198	-0,299377
0,024259	-0,295410
0,024320	-0,285034
0,024381	-0,292663
0,024442	-0,275879
0,024503	-0,306396
0,024564	-0,306396
0,024625	-0,272522
0,024686	-0,299377
0,024747	-0,303345
0,024808	-0,273743
0,024869	-0,278320
0,024930	-0,301819
0,024991	-0,290832
0,025052	-0,286255
0,025112	-0,285950
0,025173	-0,244141
0,025234	-0,274963
0,025295	-0,280762
0,025356	-0,235290
0,025417	-0,235596
0,025478	-0,294800
0,025539	-0,264892
0,025600	-0,273743
0,025661	-0,271606
0,025722	-0,241394
0,025783	-0,206909
0,025844	-0,282898
0,025905	-0,238342
0,025966	-0,236816
0,026027	-0,231018
0,026087	-0,236206
0,026148	-0,299072
0,026209	-0,294800
0,026270	-0,256653
0,026331	-0,243835
0,026392	-0,246277
0,026453	-0,251770
0,026514	-0,250549
0,026575	-0,252685
0,026636	-0,269775
0,026697	-0,250244
0,026758	-0,237427
0,026819	-0,240784
0,026880	-0,230102
0,026941	-0,223083
0,027002	-0,267029
0,027063	-0,262756
0,027123	-0,199280
0,027184	-0,232849
0,027245	-0,247192
0,027306	-0,235290
0,027367	-0,233459
0,027428	-0,230408
0,027489	-0,233154
0,027550	-0,243530
0,027611	-0,243225
0,027672	-0,251160
0,027733	-0,218506
0,027794	-0,209045
0,027855	-0,197143
0,027916	-0,196228
0,027977	-0,198059
0,028038	-0,195618
0,028098	-0,231934
0,028159	-0,228882
0,028220	-0,197754
0,028281	-0,215149
0,028342	-0,192871
0,028403	-0,191345
0,028464	-0,187073
0,028525	-0,144348
0,028586	-0,191345
0,028647	-0,198364
0,028708	-0,161133
0,028769	-0,163574
0,028830	-0,144958
0,028891	-0,183716
0,028952	-0,188293
0,029012	-0,185852
0,029073	-0,154114
0,029134	-0,160217
0,029195	-0,158386
0,029256	-0,164184
0,029317	-0,162659
0,029378	-0,148010
0,029439	-0,145874
0,029500	-0,164490
0,029561	-0,158996
0,029622	-0,158081
0,029683	-0,178223
0,029744	-0,142517
0,029805	-0,146179
0,029866	-0,144348
0,029927	-0,180359
0,029988	-0,170593
0,030048	-0,151977
0,030109	-0,148010
0,030170	-0,177002
0,030231	-0,098267
0,030292	-0,114441
0,030353	-0,187073
0,030414	-0,184631
0,030475	-0,152283
0,030536	-0,151367
0,030597	-0,147095
0,030658	-0,144653
0,030719	-0,122986
0,030780	-0,133057
0,030841	-0,166016
0,030902	-0,108642
0,030963	-0,106201
0,031023	-0,127563
0,031084	-0,133057
0,031145	-0,100098
0,031206	-0,076904
0,031267	-0,077820
0,031328	-0,116272
0,031389	-0,094604
0,031450	-0,116577
0,031511	-0,114441
0,031572	-0,144348
0,031633	-0,135498
0,031694	-0,121460
0,031755	-0,115662
0,031816	-0,114136
0,031877	-0,145569
0,031938	-0,108032
0,031998	-0,119324
0,032059	-0,115051
0,032120	-0,099182
0,032181	-0,097656
0,032242	-0,134277
0,032303	-0,062256
0,032364	-0,062256
0,032425	-0,137634
0,032486	-0,126343
0,032547	-0,118713
0,032608	-0,117493
0,032669	-0,112305
0,032730	-0,095215
0,032791	-0,103455
0,032852	-0,105896
