Zeitstempel: 18.9.2013 12:52:23
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 100s
FM
Amplitude 50mV
Richtung min-<-max
min Frequenz 1200Hz
max Frequenz 1800Hz

Frequenz in Hz	S/H-Signal in V
1799,906250	-0,661926
1799,812500	-0,671692
1799,718750	-0,649414
1799,625000	-0,649719
1799,531250	-0,648804
1799,437500	-0,650024
1799,343750	-0,671692
1799,250000	-0,662842
1799,156250	-0,643310
1799,062500	-0,645752
1798,968750	-0,657043
1798,875000	-0,687561
1798,781250	-0,616760
1798,687500	-0,614624
1798,593750	-0,605469
1798,500000	-0,631409
1798,406250	-0,637512
1798,312500	-0,653686
1798,218750	-0,653076
1798,125000	-0,658874
1798,031250	-0,628662
1797,937500	-0,632934
1797,843750	-0,631409
1797,750000	-0,638428
1797,656250	-0,640869
1797,562500	-0,658874
1797,468750	-0,638428
1797,375000	-0,638428
1797,281250	-0,643005
1797,187500	-0,684204
1797,093750	-0,667419
1797,000000	-0,664673
1796,906250	-0,640564
1796,812500	-0,634155
1796,718750	-0,662842
1796,625000	-0,654602
1796,531250	-0,654602
1796,437500	-0,635986
1796,343750	-0,643005
1796,250000	-0,635376
1796,156250	-0,628967
1796,062500	-0,640259
1795,968750	-0,652161
1795,875000	-0,626221
1795,781250	-0,656433
1795,687500	-0,657043
1795,593750	-0,644531
1795,500000	-0,640259
1795,406250	-0,645447
1795,312500	-0,626526
1795,218750	-0,624695
1795,125000	-0,650330
1795,031250	-0,627746
1794,937500	-0,607910
1794,843750	-0,602112
1794,750000	-0,669250
1794,656250	-0,652161
1794,562500	-0,645142
1794,468750	-0,617371
1794,375000	-0,615539
1794,281250	-0,661316
1794,187500	-0,661926
1794,093750	-0,651245
1794,000000	-0,644531
1793,906250	-0,649719
1793,812500	-0,649719
1793,718750	-0,669250
1793,625000	-0,631409
1793,531250	-0,630188
1793,437500	-0,648804
1793,343750	-0,628662
1793,250000	-0,664978
1793,156250	-0,665588
1793,062500	-0,665893
1792,968750	-0,664368
1792,875000	-0,651550
1792,781250	-0,636902
1792,687500	-0,637512
1792,593750	-0,644836
1792,500000	-0,615845
1792,406250	-0,662842
1792,312500	-0,621033
1792,218750	-0,620117
1792,125000	-0,660400
1792,031250	-0,663452
1791,937500	-0,663452
1791,843750	-0,660095
1791,750000	-0,650330
1791,656250	-0,629578
1791,562500	-0,621338
1791,468750	-0,672607
1791,375000	-0,669556
1791,281250	-0,615845
1791,187500	-0,620117
1791,093750	-0,671692
1791,000000	-0,640259
1790,906250	-0,627136
1790,812500	-0,628967
1790,718750	-0,605469
1790,625000	-0,623474
1790,531250	-0,619202
1790,437500	-0,621338
1790,343750	-0,634766
1790,250000	-0,646362
1790,156250	-0,650635
1790,062500	-0,651245
1789,968750	-0,653992
1789,875000	-0,637207
1789,781250	-0,670776
1789,687500	-0,671081
1789,593750	-0,633545
1789,500000	-0,635986
1789,406250	-0,618286
1789,312500	-0,683288
1789,218750	-0,682983
1789,125000	-0,660705
1789,031250	-0,630188
1788,937500	-0,638428
1788,843750	-0,636291
1788,750000	-0,606689
1788,656250	-0,650940
1788,562500	-0,684204
1788,468750	-0,633545
1788,375000	-0,634766
1788,281250	-0,653076
1788,187500	-0,648804
1788,093750	-0,631103
1788,000000	-0,630493
1787,906250	-0,643616
1787,812500	-0,627136
1787,718750	-0,671387
1787,625000	-0,641785
1787,531250	-0,641479
1787,437500	-0,617981
1787,343750	-0,632324
1787,250000	-0,661926
1787,156250	-0,654602
