Zeitstempel: 18.9.2013 10:46:31
Signalquelle: Analysator
Abtastrate: 20000,00 Hz
Modus: TIME


Bemerkung: Frequenz 1.3kHz
Amplitude 500mV
Offset +-0mV
mit Einstrahlspule

Zeit in s	Analysatorsignal in V
0,000000	0,128479
0,000050	0,039063
0,000100	-0,057373
0,000150	-0,149536
0,000200	-0,214233
0,000250	-0,246582
0,000300	-0,240784
0,000350	-0,194702
0,000400	-0,118103
0,000450	-0,023804
0,000500	0,073547
0,000550	0,158081
0,000600	0,214844
0,000650	0,236511
0,000700	0,216980
0,000750	0,161133
0,000800	0,077820
0,000850	-0,019226
0,000900	-0,114441
0,000950	-0,192261
0,001000	-0,238037
0,001050	-0,246887
0,001100	-0,215759
0,001150	-0,151062
0,001200	-0,062256
0,001250	0,036621
0,001300	0,127564
0,001350	0,196533
0,001400	0,231934
0,001450	0,228272
0,001500	0,185547
0,001550	0,111389
0,001600	0,017700
0,001650	-0,078735
0,001700	-0,165405
0,001750	-0,223999
0,001800	-0,248413
0,001850	-0,231323
0,001900	-0,178528
0,001950	-0,096741
0,002000	-0,000610
0,002050	0,095215
0,002100	0,173035
0,002150	0,222473
0,002200	0,234070
0,002250	0,205078
0,002300	0,142822
0,002350	0,055542
0,002400	-0,042419
0,002450	-0,133667
0,002500	-0,205994
0,002550	-0,243835
0,002600	-0,244446
0,002650	-0,204163
0,002700	-0,131836
0,002750	-0,039978
0,002800	0,057373
0,002850	0,145569
0,002900	0,207214
0,002950	0,234070
0,003000	0,220947
0,003050	0,169373
0,003100	0,090332
0,003150	-0,003967
0,003200	-0,101013
0,003250	-0,182190
0,003300	-0,233765
0,003350	-0,247803
0,003400	-0,223083
0,003450	-0,163269
0,003500	-0,077820
0,003550	0,021057
0,003600	0,113831
0,003650	0,187378
0,003700	0,228272
0,003750	0,230713
0,003800	0,194397
0,003850	0,125427
0,003900	0,032959
0,003950	-0,065308
0,004000	-0,153809
0,004050	-0,216980
0,004100	-0,247803
0,004150	-0,238342
0,004200	-0,189819
0,004250	-0,112915
0,004300	-0,017395
0,004350	0,079956
0,004400	0,162354
0,004450	0,218201
0,004500	0,234680
0,004550	0,212402
0,004600	0,154114
0,004650	0,070496
0,004700	-0,026855
0,004750	-0,121155
0,004800	-0,197143
0,004850	-0,240784
0,004900	-0,246277
0,004950	-0,212402
0,005000	-0,145264
0,005050	-0,054626
0,005100	0,042114
0,005150	0,133972
0,005200	0,201111
0,005250	0,232849
0,005300	0,226746
0,005350	0,181275
0,005400	0,105896
0,005450	0,010986
0,005500	-0,085144
0,005550	-0,171204
0,005600	-0,227051
0,005650	-0,247497
0,005700	-0,229492
0,005750	-0,172119
0,005800	-0,090942
0,005850	0,006104
0,005900	0,101013
0,005950	0,178223
0,006000	0,226135
0,006050	0,234070
0,006100	0,203858
0,006150	0,138550
0,006200	0,048218
0,006250	-0,049133
0,006300	-0,140381
0,006350	-0,209350
0,006400	-0,245666
0,006450	-0,241089
0,006500	-0,198364
0,006550	-0,124817
0,006600	-0,031433
0,006650	0,065918
0,006700	0,152588
0,006750	0,211792
0,006800	0,234680
0,006850	0,219727
0,006900	0,165711
0,006950	0,084229
0,007000	-0,011291
0,007050	-0,108337
0,007100	-0,186462
0,007150	-0,235596
0,007200	-0,247192
0,007250	-0,218811
0,007300	-0,156250
0,007350	-0,068970
0,007400	0,030212
0,007450	0,121460
0,007500	0,193482
0,007550	0,231018
0,007600	0,229797
0,007650	0,192261
0,007700	0,119934
0,007750	0,026550
0,007800	-0,070801
0,007850	-0,159302
0,007900	-0,220642
0,007950	-0,249634
0,008000	-0,234375
0,008050	-0,184326
0,008100	-0,105591
0,008150	-0,009460
0,008200	0,087586
0,008250	0,169067
0,008300	0,219727
0,008350	0,234070
0,008400	0,210266
0,008450	0,149231
0,008500	0,062866
0,008550	-0,034485
0,008600	-0,128174
0,008650	-0,201416
0,008700	-0,243835
0,008750	-0,245056
0,008800	-0,208435
0,008850	-0,139465
0,008900	-0,048218
0,008950	0,050049
0,009000	0,138855
0,009050	0,203858
0,009100	0,233460
0,009150	0,223389
0,009200	0,176697
0,009250	0,097351
0,009300	0,002441
0,009350	-0,094299
0,009400	-0,176086
0,009450	-0,230713
0,009500	-0,249939
0,009550	-0,227051
0,009600	-0,169372
0,009650	-0,085449
0,009700	0,011902
0,009750	0,106506
0,009800	0,182190
0,009850	0,226135
0,009900	0,232239
0,009950	0,197754
0,010000	0,130615
0,010050	0,040283
0,010100	-0,058594
0,010150	-0,147400
0,010200	-0,213928
0,010250	-0,246582
0,010300	-0,240173
0,010350	-0,195312
0,010400	-0,118408
0,010450	-0,024719
0,010500	0,071716
0,010550	0,156555
0,010600	0,213013
0,010650	0,234680
0,010700	0,215454
0,010750	0,159607
0,010800	0,076294
0,010850	-0,019531
0,010900	-0,115051
0,010950	-0,193176
0,011000	-0,239563
0,011050	-0,248413
0,011100	-0,216675
0,011150	-0,151367
0,011200	-0,063171
0,011250	0,036011
0,011300	0,125122
0,011350	0,194397
0,011400	0,230408
0,011450	0,226746
0,011500	0,184326
0,011550	0,111694
0,011600	0,018311
0,011650	-0,079651
0,011700	-0,164490
0,011750	-0,224609
0,011800	-0,250244
0,011850	-0,232849
0,011900	-0,180969
0,011950	-0,098267
0,012000	-0,002136
0,012050	0,093384
0,012100	0,174561
0,012150	0,222168
0,012200	0,232849
0,012250	0,206909
0,012300	0,143128
0,012350	0,055237
0,012400	-0,042114
0,012450	-0,134277
0,012500	-0,205078
0,012550	-0,244446
0,012600	-0,244446
0,012650	-0,204468
0,012700	-0,134277
0,012750	-0,039978
0,012800	0,057983
0,012850	0,145264
0,012900	0,207214
0,012950	0,234070
0,013000	0,221863
0,013050	0,171509
0,013100	0,091858
0,013150	-0,003967
0,013200	-0,100403
0,013250	-0,181580
0,013300	-0,233154
0,013350	-0,249329
0,013400	-0,223694
0,013450	-0,162964
0,013500	-0,077209
0,013550	0,019837
0,013600	0,115967
0,013650	0,187378
0,013700	0,230713
0,013750	0,232544
0,013800	0,194397
0,013850	0,124817
0,013900	0,033264
0,013950	-0,065002
0,014000	-0,154114
0,014050	-0,217895
0,014100	-0,247803
0,014150	-0,238953
