Zeitstempel: 18.9.2013 13:44:58
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 100s
FM
Amplitude 90mV
Richtung min->max
min Frequenz 1300Hz
max Frequenz 1700Hz

Frequenz in Hz	S/H-Signal in V
1300,062500	-0,644531
1300,125000	-0,645447
1300,187500	-0,641479
1300,250000	-0,644226
1300,312500	-0,614319
1300,375000	-0,637512
1300,437500	-0,636291
1300,500000	-0,632934
1300,562500	-0,616455
1300,625000	-0,653076
1300,687500	-0,599976
1300,750000	-0,650024
1300,812500	-0,631714
1300,875000	-0,656128
1300,937500	-0,682983
1301,000000	-0,679932
1301,062500	-0,640259
1301,125000	-0,670776
1301,187500	-0,687866
1301,250000	-0,672302
1301,312500	-0,671387
1301,375000	-0,606384
1301,437500	-0,636291
1301,500000	-0,646362
1301,562500	-0,646362
1301,625000	-0,633545
1301,687500	-0,620727
1301,750000	-0,651855
1301,812500	-0,646973
1301,875000	-0,647888
1301,937500	-0,639954
1302,000000	-0,636597
1302,062500	-0,641479
1302,125000	-0,639954
1302,187500	-0,635986
1302,250000	-0,635986
1302,312500	-0,667114
1302,375000	-0,643921
1302,437500	-0,643005
1302,500000	-0,627136
1302,562500	-0,635071
1302,625000	-0,674744
1302,687500	-0,640869
1302,750000	-0,645447
1302,812500	-0,646973
1302,875000	-0,629883
1302,937500	-0,636902
1303,000000	-0,637207
1303,062500	-0,617676
1303,125000	-0,615845
1303,187500	-0,661621
1303,250000	-0,640869
1303,312500	-0,639038
1303,375000	-0,647278
1303,437500	-0,640259
1303,500000	-0,642395
1303,562500	-0,642090
1303,625000	-0,675659
1303,687500	-0,667725
1303,750000	-0,627746
1303,812500	-0,639038
1303,875000	-0,640564
1303,937500	-0,637207
1304,000000	-0,625305
1304,062500	-0,646057
1304,125000	-0,642395
1304,187500	-0,621948
1304,250000	-0,650330
1304,312500	-0,639038
1304,375000	-0,651245
1304,437500	-0,650635
1304,500000	-0,628967
1304,562500	-0,617065
1304,625000	-0,646057
1304,687500	-0,626526
1304,750000	-0,627746
1304,812500	-0,632324
1304,875000	-0,655212
1304,937500	-0,640259
1305,000000	-0,639343
1305,062500	-0,657349
1305,125000	-0,686035
1305,187500	-0,612793
1305,250000	-0,625000
1305,312500	-0,623169
1305,375000	-0,625915
1305,437500	-0,650024
1305,500000	-0,612793
1305,562500	-0,612183
1305,625000	-0,630188
1305,687500	-0,638733
1305,750000	-0,661011
1305,812500	-0,633545
1305,875000	-0,634766
1305,937500	-0,664978
1306,000000	-0,627441
1306,062500	-0,611267
1306,125000	-0,604248
1306,187500	-0,635376
1306,250000	-0,614014
1306,312500	-0,645447
1306,375000	-0,655823
1306,437500	-0,655212
1306,500000	-0,617065
1306,562500	-0,661011
1306,625000	-0,587463
1306,687500	-0,581665
1306,750000	-0,583801
1306,812500	-0,661926
1306,875000	-0,638428
1306,937500	-0,631714
1307,000000	-0,632324
1307,062500	-0,643616
1307,125000	-0,581970
1307,187500	-0,684509
1307,250000	-0,624695
1307,312500	-0,625305
1307,375000	-0,657654
1307,437500	-0,637207
1307,500000	-0,643616
1307,562500	-0,642700
1307,625000	-0,609741
1307,687500	-0,641785
1307,750000	-0,620422
1307,812500	-0,615845
1307,875000	-0,615234
1307,937500	-0,585632
1308,000000	-0,622253
1308,062500	-0,643616
1308,125000	-0,639954
1308,187500	-0,658264
1308,250000	-0,611572
1308,312500	-0,658569
1308,375000	-0,609741
1308,437500	-0,607605
1308,500000	-0,624390
1308,562500	-0,629272
1308,625000	-0,647888
1308,687500	-0,605163
1308,750000	-0,606079
1308,812500	-0,603332
1308,875000	-0,614929
1308,937500	-0,652161
1309,000000	-0,652771
1309,062500	-0,627441
1309,125000	-0,603027
1309,187500	-0,600586
1309,250000	-0,602722
1309,312500	-0,599976
1309,375000	-0,623779
1309,437500	-0,633545
1309,500000	-0,624390
1309,562500	-0,625000
1309,625000	-0,618896
1309,687500	-0,606384
1309,750000	-0,634460
1309,812500	-0,638733
1309,875000	-0,636902
1309,937500	-0,631714
1310,000000	-0,625610
1310,062500	-0,641174
1310,125000	-0,669556
1310,187500	-0,671692
1310,250000	-0,623779
1310,312500	-0,656128
1310,375000	-0,604248
1310,437500	-0,603943
1310,500000	-0,611267
1310,562500	-0,602722
1310,625000	-0,592956
1310,687500	-0,626221
1310,750000	-0,622559
1310,812500	-0,633850
1310,875000	-0,614624
1310,937500	-0,625610
1311,000000	-0,626526
1311,062500	-0,648804
1311,125000	-0,609131
1311,187500	-0,628967
1311,250000	-0,646057
1311,312500	-0,646667
1311,375000	-0,580444
1311,437500	-0,598450
1311,500000	-0,593262
1311,562500	-0,590820
1311,625000	-0,619202
1311,687500	-0,630798
1311,750000	-0,604858
1311,812500	-0,669250
1311,875000	-0,669250
1311,937500	-0,626221
1312,000000	-0,606384
1312,062500	-0,616150
1312,125000	-0,623474
1312,187500	-0,628052
1312,250000	-0,649109
1312,312500	-0,597229
1312,375000	-0,606079
1312,437500	-0,605469
1312,500000	-0,597839
1312,562500	-0,617065
1312,625000	-0,604248
1312,687500	-0,614624
1312,750000	-0,615234
1312,812500	-0,612488
1312,875000	-0,597839
1312,937500	-0,589600
1313,000000	-0,545044
1313,062500	-0,589600
1313,125000	-0,611572
1313,187500	-0,630493
1313,250000	-0,610657
1313,312500	-0,610351
1313,375000	-0,616760
1313,437500	-0,625915
1313,500000	-0,598755
1313,562500	-0,597229
1313,625000	-0,625915
1313,687500	-0,613098
1313,750000	-0,613098
1313,812500	-0,598144
1313,875000	-0,595703
1313,937500	-0,641785
1314,000000	-0,577392
1314,062500	-0,598144
1314,125000	-0,642090
1314,187500	-0,646973
1314,250000	-0,621948
1314,312500	-0,648498
1314,375000	-0,608826
1314,437500	-0,607605
1314,500000	-0,598144
1314,562500	-0,623169
1314,625000	-0,627746
1314,687500	-0,612793
1314,750000	-0,613098
1314,812500	-0,602722
1314,875000	-0,643005
1314,937500	-0,622253
1315,000000	-0,622559
1315,062500	-0,650940
1315,125000	-0,628662
1315,187500	-0,632934
1315,250000	-0,613708
1315,312500	-0,614624
1315,375000	-0,622864
1315,437500	-0,635071
1315,500000	-0,616760
1315,562500	-0,612183
1315,625000	-0,634460
1315,687500	-0,616150
1315,750000	-0,630798
1315,812500	-0,612488
1315,875000	-0,610962
1315,937500	-0,603943
1316,000000	-0,598755
1316,062500	-0,603332
1316,125000	-0,635071
1316,187500	-0,637817
1316,250000	-0,627441
1316,312500	-0,633545
1316,375000	-0,619202
1316,437500	-0,619507
1316,500000	-0,608826
1316,562500	-0,650024
1316,625000	-0,611267
1316,687500	-0,593567
1316,750000	-0,591125
1316,812500	-0,599365
1316,875000	-0,589600
1316,937500	-0,593872
1317,000000	-0,594482
1317,062500	-0,639038
1317,125000	-0,606079
1317,187500	-0,628967
1317,250000	-0,619202
1317,312500	-0,619202
1317,375000	-0,609131
1317,437500	-0,642090
1317,500000	-0,607910
1317,562500	-0,592041
1317,625000	-0,590515
1317,687500	-0,610962
1317,750000	-0,596619
1317,812500	-0,615539
1317,875000	-0,614624
1317,937500	-0,616150
1318,000000	-0,600586
1318,062500	-0,611877
1318,125000	-0,580749
1318,187500	-0,580749
1318,250000	-0,606689
1318,312500	-0,593262
1318,375000	-0,609741
1318,437500	-0,604553
1318,500000	-0,582886
1318,562500	-0,649414
1318,625000	-0,609131
1318,687500	-0,650940
1318,750000	-0,650024
1318,812500	-0,602722
1318,875000	-0,610351
1318,937500	-0,614624
1319,000000	-0,593872
1319,062500	-0,595703
1319,125000	-0,606384
1319,187500	-0,634155
1319,250000	-0,631714
1319,312500	-0,631714
1319,375000	-0,608215
1319,437500	-0,614624
1319,500000	-0,605469
1319,562500	-0,589294
1319,625000	-0,588074
1319,687500	-0,602722
1319,750000	-0,614014
1319,812500	-0,617371
1319,875000	-0,614624
1319,937500	-0,607300
1320,000000	-0,607605
1320,062500	-0,614014
1320,125000	-0,597229
1320,187500	-0,596924
1320,250000	-0,611877
1320,312500	-0,597534
1320,375000	-0,591736
1320,437500	-0,576172
1320,500000	-0,618896
1320,562500	-0,610046
1320,625000	-0,584412
1320,687500	-0,598450
1320,750000	-0,597534
1320,812500	-0,582580
1320,875000	-0,579224
1320,937500	-0,587158
1321,000000	-0,606384
1321,062500	-0,608215
1321,125000	-0,618286
1321,187500	-0,618286
1321,250000	-0,585632
1321,312500	-0,585937
1321,375000	-0,585327
1321,437500	-0,631409
1321,500000	-0,621948
1321,562500	-0,637207
1321,625000	-0,641785
1321,687500	-0,614319
1321,750000	-0,605774
1321,812500	-0,638122
1321,875000	-0,637207
1321,937500	-0,626831
1322,000000	-0,632629
1322,062500	-0,600586
1322,125000	-0,601196
1322,187500	-0,598755
1322,250000	-0,619202
1322,312500	-0,581665
1322,375000	-0,590820
1322,437500	-0,588989
1322,500000	-0,643005
1322,562500	-0,600586
1322,625000	-0,627746
1322,687500	-0,567322
1322,750000	-0,568237
1322,812500	-0,637817
1322,875000	-0,626221
1322,937500	-0,597229
1323,000000	-0,596313
1323,062500	-0,600281
1323,125000	-0,575256
1323,187500	-0,619812
1323,250000	-0,603638
1323,312500	-0,603943
1323,375000	-0,633850
1323,437500	-0,591736
1323,500000	-0,611267
1323,562500	-0,644226
1323,625000	-0,648193
1323,687500	-0,616455
1323,750000	-0,586853
1323,812500	-0,631714
1323,875000	-0,631103
1323,937500	-0,602112
1324,000000	-0,605163
1324,062500	-0,623779
1324,125000	-0,602112
1324,187500	-0,602417
1324,250000	-0,594788
1324,312500	-0,607910
1324,375000	-0,612488
1324,437500	-0,610962
1324,500000	-0,593567
1324,562500	-0,613403
1324,625000	-0,574646
1324,687500	-0,617371
1324,750000	-0,618286
1324,812500	-0,637817
1324,875000	-0,606384
1324,937500	-0,591736
1325,000000	-0,588074
1325,062500	-0,626221
1325,125000	-0,602722
1325,187500	-0,606689
1325,250000	-0,633545
1325,312500	-0,631714
1325,375000	-0,612183
1325,437500	-0,598450
1325,500000	-0,581665
1325,562500	-0,602112
1325,625000	-0,606079
1325,687500	-0,605469
1325,750000	-0,595398
1325,812500	-0,614014
1325,875000	-0,612793
1325,937500	-0,596313
1326,000000	-0,641479
1326,062500	-0,601196
1326,125000	-0,591125
1326,187500	-0,590515
1326,250000	-0,567627
1326,312500	-0,596008
1326,375000	-0,610046
1326,437500	-0,608520
1326,500000	-0,610962
1326,562500	-0,589905
1326,625000	-0,599060
1326,687500	-0,635071
1326,750000	-0,636597
1326,812500	-0,627136
1326,875000	-0,608215
1326,937500	-0,617371
1327,000000	-0,615539
1327,062500	-0,626221
1327,125000	-0,590515
1327,187500	-0,596008
1327,250000	-0,610962
1327,312500	-0,609131
1327,375000	-0,588379
1327,437500	-0,610962
1327,500000	-0,622864
1327,562500	-0,553284
1327,625000	-0,557556
1327,687500	-0,621643
1327,750000	-0,598755
1327,812500	-0,593567
1327,875000	-0,594177
1327,937500	-0,606079
1328,000000	-0,610046
1328,062500	-0,588379
1328,125000	-0,583496
1328,187500	-0,581970
1328,250000	-0,581970
1328,312500	-0,625000
1328,375000	-0,598755
1328,437500	-0,596924
1328,500000	-0,582580
1328,562500	-0,612488
1328,625000	-0,606689
1328,687500	-0,625610
1328,750000	-0,625000
1328,812500	-0,593262
1328,875000	-0,599670
1328,937500	-0,619812
1329,000000	-0,614319
1329,062500	-0,605469
1329,125000	-0,602112
1329,187500	-0,606079
1329,250000	-0,625000
1329,312500	-0,625000
1329,375000	-0,552063
1329,437500	-0,600891
1329,500000	-0,593567
1329,562500	-0,617676
1329,625000	-0,617981
1329,687500	-0,601807
1329,750000	-0,609131
1329,812500	-0,638428
1329,875000	-0,639343
1329,937500	-0,590820
1330,000000	-0,621643
1330,062500	-0,576782
1330,125000	-0,641785
1330,187500	-0,641174
1330,250000	-0,606384
1330,312500	-0,599976
1330,375000	-0,630798
1330,437500	-0,630493
1330,500000	-0,636291
1330,562500	-0,611267
1330,625000	-0,602722
1330,687500	-0,658264
1330,750000	-0,656738
1330,812500	-0,585327
1330,875000	-0,604858
1330,937500	-0,568848
1331,000000	-0,589600
1331,062500	-0,606995
1331,125000	-0,569763
1331,187500	-0,593567
1331,250000	-0,654297
1331,312500	-0,652161
1331,375000	-0,624084
1331,437500	-0,628357
1331,500000	-0,586853
1331,562500	-0,591736
1331,625000	-0,594482
1331,687500	-0,594482
1331,750000	-0,599670
1331,812500	-0,630493
1331,875000	-0,630493
1331,937500	-0,617981
1332,000000	-0,602112
1332,062500	-0,645752
1332,125000	-0,601501
1332,187500	-0,601196
1332,250000	-0,621338
1332,312500	-0,616760
1332,375000	-0,629883
1332,437500	-0,628662
1332,500000	-0,617981
1332,562500	-0,598144
1332,625000	-0,586853
1332,687500	-0,613098
1332,750000	-0,614319
1332,812500	-0,621948
1332,875000	-0,620422
1332,937500	-0,611877
1333,000000	-0,625305
1333,062500	-0,622253
1333,125000	-0,620727
1333,187500	-0,609741
1333,250000	-0,641174
1333,312500	-0,643616
1333,375000	-0,594482
1333,437500	-0,606689
1333,500000	-0,610351
1333,562500	-0,597839
1333,625000	-0,599365
1333,687500	-0,583191
1333,750000	-0,623474
1333,812500	-0,612183
1333,875000	-0,607605
1333,937500	-0,584106
1334,000000	-0,626221
1334,062500	-0,600891
1334,125000	-0,592041
1334,187500	-0,592346
1334,250000	-0,600586
1334,312500	-0,606384
1334,375000	-0,610657
1334,437500	-0,594482
1334,500000	-0,596924
1334,562500	-0,586548
1334,625000	-0,602722
1334,687500	-0,608520
1334,750000	-0,608215
1334,812500	-0,596313
1334,875000	-0,580749
1334,937500	-0,592651
1335,000000	-0,593567
1335,062500	-0,592041
1335,125000	-0,593567
1335,187500	-0,606384
1335,250000	-0,603943
1335,312500	-0,604553
1335,375000	-0,613098
1335,437500	-0,625000
