Zeitstempel: 18.9.2013 14:22:32
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1490Hz
Richtung min->max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0,010000	-0,384827
0,010061	-0,396118
0,010122	-0,380859
0,010183	-0,402832
0,010244	-0,402832
0,010305	-0,403442
0,010366	-0,388794
0,010427	-0,376587
0,010488	-0,394287
0,010548	-0,396423
0,010609	-0,385742
0,010670	-0,410156
0,010731	-0,403137
0,010792	-0,402527
0,010853	-0,352783
0,010914	-0,400696
0,010975	-0,349426
0,011036	-0,386047
0,011097	-0,389099
0,011158	-0,365601
0,011219	-0,440063
0,011280	-0,439148
0,011341	-0,438232
0,011402	-0,366821
0,011463	-0,398254
0,011523	-0,386658
0,011584	-0,396118
0,011645	-0,394897
0,011706	-0,387268
0,011767	-0,393982
0,011828	-0,369568
0,011889	-0,368652
0,011950	-0,368042
0,012011	-0,367432
0,012072	-0,372009
0,012133	-0,385132
0,012194	-0,383911
0,012255	-0,394592
0,012316	-0,380859
0,012377	-0,389404
0,012437	-0,387268
0,012498	-0,376892
0,012559	-0,358581
0,012620	-0,400085
0,012681	-0,437012
0,012742	-0,437012
0,012803	-0,376282
0,012864	-0,387573
0,012925	-0,384521
0,012986	-0,392151
0,013047	-0,399170
0,013108	-0,364075
0,013169	-0,382690
0,013230	-0,362854
0,013291	-0,361023
0,013352	-0,412292
0,013412	-0,369568
0,013473	-0,407410
0,013534	-0,407104
0,013595	-0,405884
0,013656	-0,402222
0,013717	-0,404663
0,013778	-0,383606
0,013839	-0,383301
0,013900	-0,417786
0,013961	-0,339050
0,014022	-0,367126
0,014083	-0,401611
0,014144	-0,401306
0,014205	-0,386963
0,014266	-0,396118
0,014327	-0,381775
0,014388	-0,379639
0,014448	-0,385132
0,014509	-0,426025
0,014570	-0,382385
0,014631	-0,386658
0,014692	-0,386352
0,014753	-0,383606
0,014814	-0,382996
0,014875	-0,407410
0,014936	-0,395813
0,014997	-0,399475
0,015058	-0,383606
0,015119	-0,376282
0,015180	-0,382690
0,015241	-0,382080
0,015302	-0,361023
0,015363	-0,397034
0,015423	-0,376282
0,015484	-0,419311
0,015545	-0,416870
0,015606	-0,456543
0,015667	-0,390320
0,015728	-0,476379
0,015789	-0,475464
0,015850	-0,499878
0,015911	-0,528564
0,015972	-0,496521
0,016033	-0,563049
0,016094	-0,563660
0,016155	-0,590515
0,016216	-0,591736
0,016277	-0,611877
0,016337	-0,610657
0,016398	-0,619507
0,016459	-0,598450
0,016520	-0,602112
0,016581	-0,619812
0,016642	-0,617981
0,016703	-0,588684
0,016764	-0,534363
0,016825	-0,547485
0,016886	-0,508118
0,016947	-0,513916
0,017008	-0,507507
0,017069	-0,468140
0,017130	-0,458679
0,017191	-0,458374
0,017252	-0,448303
0,017312	-0,443115
0,017373	-0,420837
0,017434	-0,403137
0,017495	-0,404053
0,017556	-0,394592
0,017617	-0,385742
0,017678	-0,377808
0,017739	-0,376892
0,017800	-0,370178
0,017861	-0,385132
0,017922	-0,359192
0,017983	-0,338135
0,018044	-0,338440
0,018105	-0,395508
0,018166	-0,321655
0,018227	-0,365295
0,018288	-0,361633
0,018348	-0,320129
0,018409	-0,373535
0,018470	-0,325622
0,018531	-0,365601
0,018592	-0,364685
0,018653	-0,331726
0,018714	-0,319824
0,018775	-0,319214
0,018836	-0,325012
0,018897	-0,328674
0,018958	-0,305176
0,019019	-0,266418
0,019080	-0,300598
0,019141	-0,299072
0,019202	-0,310364
0,019263	-0,266724
0,019323	-0,312195
0,019384	-0,310364
0,019445	-0,309753
0,019506	-0,291443
0,019567	-0,291443
0,019628	-0,299072
0,019689	-0,297241
0,019750	-0,325622
0,019811	-0,292663
0,019872	-0,278015
0,019933	-0,264282
0,019994	-0,259705
0,020055	-0,257568
0,020116	-0,269775
0,020177	-0,291138
0,020237	-0,286560
0,020298	-0,261841
0,020359	-0,263977
0,020420	-0,275574
0,020481	-0,266113
0,020542	-0,266113
0,020603	-0,222473
0,020664	-0,235901
0,020725	-0,262146
0,020786	-0,240784
0,020847	-0,246277
0,020908	-0,245361
0,020969	-0,238953
0,021030	-0,227966
0,021091	-0,226135
0,021152	-0,180969
0,021212	-0,218506
0,021273	-0,237427
0,021334	-0,203247
0,021395	-0,205994
0,021456	-0,234375
0,021517	-0,202331
0,021578	-0,257873
0,021639	-0,256958
0,021700	-0,190124
0,021761	-0,202331
0,021822	-0,205688
0,021883	-0,211182
0,021944	-0,211182
0,022005	-0,210266
0,022066	-0,161133
0,022127	-0,169678
0,022187	-0,167236
0,022248	-0,184021
0,022309	-0,195923
0,022370	-0,182800
0,022431	-0,171204
0,022492	-0,169372
0,022553	-0,183716
0,022614	-0,196838
0,022675	-0,170288
0,022736	-0,169067
0,022797	-0,146789
0,022858	-0,162964
0,022919	-0,164184
0,022980	-0,166016
0,023041	-0,163574
0,023102	-0,113525
0,023163	-0,116577
0,023223	-0,117187
0,023284	-0,114136
0,023345	-0,117798
0,023406	-0,155029
0,023467	-0,178528
0,023528	-0,100098
0,023589	-0,099792
0,023650	-0,144958
0,023711	-0,108337
0,023772	-0,121155
0,023833	-0,114136
0,023894	-0,113220
0,023955	-0,097656
0,024016	-0,096435
0,024077	-0,066833
0,024138	-0,065308
0,024198	-0,104065
0,024259	-0,104370
0,024320	-0,109253
0,024381	-0,099792
0,024442	-0,099487
0,024503	-0,087891
0,024564	-0,103149
0,024625	-0,073547
0,024686	-0,083313
0,024747	-0,064392
0,024808	-0,091553
0,024869	-0,061035
0,024930	-0,079346
0,024991	-0,077209
0,025052	-0,076294
0,025112	-0,057983
0,025173	-0,067749
0,025234	-0,066528
0,025295	-0,039673
0,025356	-0,056763
0,025417	-0,075378
0,025478	-0,027771
0,025539	-0,025940
0,025600	-0,082703
0,025661	-0,051269
0,025722	-0,044861
0,025783	-0,001526
0,025844	-0,000610
0,025905	-0,038147
0,025966	-0,001831
0,026027	-0,065308
0,026087	-0,063171
0,026148	-0,028076
0,026209	-0,040588
0,026270	-0,028992
0,026331	-0,022583
0,026392	-0,021973
0,026453	0,013123
0,026514	-0,028992
0,026575	0,032044
0,026636	0,014649
0,026697	0,015564
0,026758	-0,008240
0,026819	-0,007629
0,026880	-0,007629
0,026941	-0,007324
0,027002	0,000610
0,027063	-0,074768
0,027123	0,010071
0,027184	0,015564
0,027245	0,017395
0,027306	0,022583
0,027367	0,033875
0,027428	0,020142
0,027489	0,019837
0,027550	0,005493
0,027611	0,019837
0,027672	0,020752
0,027733	0,017700
0,027794	0,019226
0,027855	0,065308
0,027916	0,034180
0,027977	0,042725
0,028038	0,043335
0,028098	0,035706
0,028159	0,086975
0,028220	0,020752
0,028281	0,019837
0,028342	0,018921
0,028403	0,060425
0,028464	0,052490
0,028525	0,061035
0,028586	0,050659
0,028647	0,053406
0,028708	0,078430
0,028769	0,051880
0,028830	0,066834
0,028891	0,068970
0,028952	0,082703
0,029012	0,097046
0,029073	0,093994
0,029134	0,084229
0,029195	0,082398
0,029256	0,105896
0,029317	0,104981
0,029378	0,088196
0,029439	0,088806
0,029500	0,138855
0,029561	0,100403
0,029622	0,089722
0,029683	0,124817
0,029744	0,125733
0,029805	0,119934
0,029866	0,086060
0,029927	0,118103
0,029988	0,118103
0,030048	0,138245
0,030109	0,125427
0,030170	0,151367
0,030231	0,138550
0,030292	0,138245
0,030353	0,086670
0,030414	0,133667
0,030475	0,095215
0,030536	0,096741
0,030597	0,124207
0,030658	0,125733
0,030719	0,142517
0,030780	0,140991
0,030841	0,141602
0,030902	0,147095
0,030963	0,153504
0,031023	0,150147
0,031084	0,153198
0,031145	0,119324
0,031206	0,139160
0,031267	0,168762
0,031328	0,127564
0,031389	0,129089
0,031450	0,175171
0,031511	0,164490
0,031572	0,147095
0,031633	0,189819
0,031694	0,187683
0,031755	0,183106
0,031816	0,200806
0,031877	0,159302
0,031938	0,158691
0,031998	0,205078
0,032059	0,180969
0,032120	0,170899
0,032181	0,192261
0,032242	0,193176
0,032303	0,181885
0,032364	0,167542
0,032425	0,183411
0,032486	0,184937
0,032547	0,210266
0,032608	0,185242
0,032669	0,212097
0,032730	0,184021
0,032791	0,183106
0,032852	0,191956
0,032912	0,229797
0,032973	0,220032
0,033034	0,190735
0,033095	0,188904
0,033156	0,218811
0,033217	0,187073
0,033278	0,227356
0,033339	0,227356
0,033400	0,208740
0,033461	0,273743
0,033522	0,244446
0,033583	0,238342
0,033644	0,239563
0,033705	0,213928
0,033766	0,253906
0,033827	0,242920
0,033888	0,243530
0,033948	0,212402
0,034009	0,265503
0,034070	0,229492
0,034131	0,249024
0,034192	0,249024
0,034253	0,231934
0,034314	0,268860
0,034375	0,268555
0,034436	0,270386
0,034497	0,235901
0,034558	0,235291
0,034619	0,259400
0,034680	0,277405
0,034741	0,281677
0,034802	0,264282
0,034863	0,296936
0,034923	0,271912
0,034984	0,224304
0,035045	0,245972
0,035106	0,247803
0,035167	0,241699
0,035228	0,291138
0,035289	0,293274
0,035350	0,256958
0,035411	0,285950
0,035472	0,280457
0,035533	0,274658
0,035594	0,274353
0,035655	0,294495
0,035716	0,276184
0,035777	0,299988
0,035838	0,297852
0,035898	0,314941
0,035959	0,285034
0,036020	0,300293
0,036081	0,278015
0,036142	0,279541
0,036203	0,345764
0,036264	0,296326
0,036325	0,291748
0,036386	0,294800
