Zeitstempel: 18.9.2013 14:10:59
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 200s
FM
Frequenz 1500Hz
Richtung min->max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0,010000	-0,411072
0,010061	-0,399475
0,010122	-0,381164
0,010183	-0,379639
0,010244	-0,416870
0,010305	-0,413208
0,010366	-0,403442
0,010427	-0,414429
0,010488	-0,414734
0,010548	-0,403747
0,010609	-0,390625
0,010670	-0,404968
0,010731	-0,404968
0,010792	-0,404968
0,010853	-0,380859
0,010914	-0,404968
0,010975	-0,393982
0,011036	-0,397034
0,011097	-0,407410
0,011158	-0,396118
0,011219	-0,390625
0,011280	-0,388489
0,011341	-0,362244
0,011402	-0,386047
0,011463	-0,417786
0,011523	-0,402527
0,011584	-0,402527
0,011645	-0,384521
0,011706	-0,425110
0,011767	-0,393066
0,011828	-0,386352
0,011889	-0,410156
0,011950	-0,393982
0,012011	-0,403442
0,012072	-0,415344
0,012133	-0,413818
0,012194	-0,403137
0,012255	-0,397339
0,012316	-0,426941
0,012377	-0,392761
0,012437	-0,399475
0,012498	-0,399475
0,012559	-0,408630
0,012620	-0,411377
0,012681	-0,413208
0,012742	-0,373230
0,012803	-0,413208
0,012864	-0,411072
0,012925	-0,397949
0,012986	-0,395813
0,013047	-0,397949
0,013108	-0,405273
0,013169	-0,422058
0,013230	-0,424194
0,013291	-0,425720
0,013352	-0,396728
0,013412	-0,398865
0,013473	-0,405273
0,013534	-0,405884
0,013595	-0,441284
0,013656	-0,411072
0,013717	-0,381775
0,013778	-0,381775
0,013839	-0,400391
0,013900	-0,410461
0,013961	-0,410156
0,014022	-0,392456
0,014083	-0,389709
0,014144	-0,403442
0,014205	-0,403442
0,014266	-0,402832
0,014327	-0,400085
0,014388	-0,396118
0,014448	-0,393677
0,014509	-0,431518
0,014570	-0,418701
0,014631	-0,419311
0,014692	-0,406494
0,014753	-0,391235
0,014814	-0,414734
0,014875	-0,387573
0,014936	-0,388184
0,014997	-0,404358
0,015058	-0,407104
0,015119	-0,377197
0,015180	-0,376892
0,015241	-0,399780
0,015302	-0,436096
0,015363	-0,436401
0,015423	-0,451050
0,015484	-0,392456
0,015545	-0,393371
0,015606	-0,430603
0,015667	-0,431213
0,015728	-0,429993
0,015789	-0,445557
0,015911	-0,522156
0,015972	-0,515137
0,016033	-0,517578
0,016094	-0,549011
0,016155	-0,595093
0,016216	-0,600281
0,016277	-0,598450
0,016337	-0,594482
0,016398	-0,598450
0,016459	-0,617065
0,016520	-0,604248
0,016581	-0,606384
0,016642	-0,593262
0,016703	-0,603027
0,016764	-0,608520
0,016825	-0,586853
0,016886	-0,592346
0,016947	-0,539246
0,017008	-0,532837
0,017069	-0,491333
0,017130	-0,488892
0,017191	-0,472717
0,017252	-0,461426
0,017312	-0,465698
0,017373	-0,447693
0,017434	-0,433350
0,017495	-0,423889
0,017556	-0,406494
0,017617	-0,418396
0,017678	-0,417175
0,017739	-0,429382
0,017800	-0,429993
0,017861	-0,352478
0,017922	-0,358581
0,017983	-0,363159
0,018044	-0,392151
0,018105	-0,382080
0,018166	-0,363159
0,018227	-0,363464
0,018288	-0,388794
0,018348	-0,368957
0,018409	-0,363159
0,018470	-0,355530
0,018531	-0,357971
0,018592	-0,368957
0,018653	-0,338135
0,018714	-0,369263
0,018775	-0,368652
0,018836	-0,371094
0,018897	-0,339050
0,018958	-0,361633
0,019019	-0,371094
0,019080	-0,368042
0,019141	-0,348205
0,019202	-0,368957
0,019263	-0,325622
0,019323	-0,331116
0,019384	-0,331116
0,019445	-0,335083
