Zeitstempel: 18.9.2013 15:16:49
Signalquelle: Sample/Hold Verstärker
Modus: FM


Bemerkung: Durchlaufzeit 50s
FM
Strom Helmholtz -65mA
Amplitude 45mV
Richtung min->max
min Frequenz 8000Hz
max Frequenz 8400Hz

Frequenz in Hz	S/H-Signal in V
8000,125000	-0,626831
8000,250000	-0,682983
8000,375000	-0,681457
8000,500000	-0,687561
8000,625000	-0,683594
8000,750000	-0,700989
8000,875000	-0,697937
8001,000000	-0,628357
8001,125000	-0,659485
8001,250000	-0,643616
8001,375000	-0,696106
8001,500000	-0,694275
8001,625000	-0,684814
8001,750000	-0,699463
8001,875000	-0,618591
8002,000000	-0,682983
8002,125000	-0,686035
8002,250000	-0,679016
8002,375000	-0,610962
8002,500000	-0,640869
8002,625000	-0,641479
8002,750000	-0,667725
8002,875000	-0,610046
8003,000000	-0,657349
8003,125000	-0,581360
8003,250000	-0,579529
8003,375000	-0,667419
8003,500000	-0,652161
8003,625000	-0,655517
8003,750000	-0,655212
8003,875000	-0,656738
8004,000000	-0,601807
8004,125000	-0,668030
8004,250000	-0,672607
8004,375000	-0,673523
8004,500000	-0,695496
8004,625000	-0,668030
8004,750000	-0,646057
8004,875000	-0,644531
8005,000000	-0,659790
8005,125000	-0,684814
8005,250000	-0,675354
8005,375000	-0,625915
8005,500000	-0,624084
8005,625000	-0,678406
8005,750000	-0,701904
8005,875000	-0,704346
8006,000000	-0,667725
8006,125000	-0,674133
8006,250000	-0,697327
8006,375000	-0,637512
8006,500000	-0,672913
8006,625000	-0,671387
8006,750000	-0,671387
8006,875000	-0,659180
8007,000000	-0,674133
8007,125000	-0,647278
8007,250000	-0,647888
8007,375000	-0,606995
8007,500000	-0,654297
8007,625000	-0,678711
8007,750000	-0,677185
8007,875000	-0,663757
8008,000000	-0,591736
8008,125000	-0,657959
8008,250000	-0,657043
8008,375000	-0,656128
8008,500000	-0,664368
8008,625000	-0,639343
8008,750000	-0,678101
8008,875000	-0,670471
8009,000000	-0,672913
8009,125000	-0,675354
8009,250000	-0,630798
8009,375000	-0,720520
8009,500000	-0,719910
8009,625000	-0,635986
8009,750000	-0,644531
8009,875000	-0,711365
8010,000000	-0,679932
8010,125000	-0,679016
8010,250000	-0,618896
8010,375000	-0,657043
8010,500000	-0,692139
8010,625000	-0,690613
8010,750000	-0,740356
8010,875000	-0,692444
8011,000000	-0,671387
8011,125000	-0,666504
8011,250000	-0,666199
8011,375000	-0,688782
8011,500000	-0,691223
8011,625000	-0,620422
8011,750000	-0,617065
8011,875000	-0,722961
8012,000000	-0,659790
8012,125000	-0,680237
8012,250000	-0,679932
8012,375000	-0,680237
8012,500000	-0,646973
8012,625000	-0,726929
8012,750000	-0,633240
8012,875000	-0,671692
8013,000000	-0,674744
8013,125000	-0,629883
8013,250000	-0,654297
8013,375000	-0,650330
8013,500000	-0,648193
8013,625000	-0,667725
8013,750000	-0,671997
8013,875000	-0,668335
8014,000000	-0,604553
8014,125000	-0,604553
8014,250000	-0,646667
8014,375000	-0,653076
8014,500000	-0,673218
8014,625000	-0,672913
8014,750000	-0,722046
8014,875000	-0,704956
8015,000000	-0,639343
8015,125000	-0,674438
8015,250000	-0,676575
8015,375000	-0,668335
8015,500000	-0,642700
8015,625000	-0,664368
8015,750000	-0,662537
8015,875000	-0,669861
8016,000000	-0,636597
8016,125000	-0,674438
8016,250000	-0,668945
8016,375000	-0,668335
8016,500000	-0,691223
8016,625000	-0,685120
8016,750000	-0,621338
8016,875000	-0,619812
8017,000000	-0,622864
8017,125000	-0,619812
8017,250000	-0,639038
8017,375000	-0,620117
8017,500000	-0,618286
8017,625000	-0,733337
8017,750000	-0,666809
8017,875000	-0,686340
8018,000000	-0,650330
8018,125000	-0,650330
8018,250000	-0,667725
8018,375000	-0,638733
8018,500000	-0,668945
8018,625000	-0,667725
8018,750000	-0,717468
8018,875000	-0,644836
8019,000000	-0,662842
8019,125000	-0,661316
8019,250000	-0,661011
8019,375000	-0,690308
8019,500000	-0,649719
8019,625000	-0,690308
8019,750000	-0,688782
8019,875000	-0,657654
8020,000000	-0,686035
8020,125000	-0,705566
8020,250000	-0,666504
8020,375000	-0,664368
8020,500000	-0,652771
8020,625000	-0,661316
8020,750000	-0,662231
8020,875000	-0,612793
8021,000000	-0,600891
8021,125000	-0,655212
8021,250000	-0,661011
8021,375000	-0,646973
8021,500000	-0,647888
8021,625000	-0,688782
8021,750000	-0,657959
8021,875000	-0,650330
8022,000000	-0,672302
8022,125000	-0,670166
8022,250000	-0,667419
8022,375000	-0,672607
8022,500000	-0,642700
8022,625000	-0,644531
8022,750000	-0,687561
8022,875000	-0,658569
8023,000000	-0,669861
8023,125000	-0,651550
8023,250000	-0,649719
8023,375000	-0,619202
8023,500000	-0,615539
8023,625000	-0,625000
8023,750000	-0,621948
8023,875000	-0,671387
8024,000000	-0,652161
8024,125000	-0,672302
8024,250000	-0,693664
8024,375000	-0,692749
8024,500000	-0,697327
8024,625000	-0,673828
8024,750000	-0,667419
8024,875000	-0,648498
8025,000000	-0,663452
8025,125000	-0,690918
8025,250000	-0,684509
8025,375000	-0,626221
8025,500000	-0,625000
8025,625000	-0,658569
